Drug	Disease
DB00215	164230
DB00472	164230
DB00472	164230
DB00472	164230
DB01242	164230
DB01242	164230
DB01242	164230
DB00515	211980
DB00515	211980
DB01005	211980
DB01005	211980
DB00816	211980
DB00816	211980
DB00958	211980
DB00958	211980
DB01168	211980
DB01168	211980
DB01077	276300
DB01005	276300
DB00813	276300
DB00630	276300
DB00196	276300
DB00544	276300
DB00531	276300
DB00903	276300
DB00271	276300
DB00357	276300
DB00889	276300
DB00515	276300
DB00575	276300
DB01181	276300
DB00262	276300
DB05494	276300
DB01143	276300
DB01119	276300
DB00437	276300
DB01249	276300
DB00293	276300
DB01204	276300
DB00305	276300
DB00648	276300
DB00399	276300
DB01233	276300
DB00720	276300
DB05260	276300
DB01006	276300
DB01110	276300
DB00710	276300
DB04572	276300
DB00307	276300
DB00317	276300
DB00853	276300
DB00904	276300
DB00687	276300
DB00958	276300
DB01101	276300
DB08896	276300
DB00398	276300
DB00530	276300
DB06717	276300
DB00851	276300
DB00377	276300
DB01033	276300
DB00887	147540
DB00695	147540
DB01075	147540
DB00996	147540
DB09134	147540
DB00271	147540
DB00184	147540
DB01114	147540
DB00341	147540
DB01188	147540
DB00434	147540
DB00748	147540
DB00280	147540
DB00950	147540
DB00808	147540
DB00787	147540
DB00927	147540
DB01249	147540
DB06711	147540
DB00678	147540
DB00738	147540
DB00455	147540
DB00432	147540
DB00660	147540
DB01069	147540
DB03575	147540
DB00419	147540
DB00541	147540
DB00737	147540
DB00331	147540
DB01165	147540
DB00720	147540
DB00996	208700
DB00996	208750
DB00996	208920
DB00996	260970
DB00152	208700
DB00152	208750
DB00152	208920
DB00152	260970
DB00975	608320
DB00381	608320
DB00346	608320
DB01249	608320
DB00556	608320
DB01074	608320
DB01020	608320
DB01393	608320
DB00727	608320
DB00187	608320
DB00966	608320
DB09083	608320
DB00861	140600
DB00861	165720
DB00861	607850
DB00861	165720
DB00936	140600
DB00936	165720
DB00936	607850
DB00936	165720
DB00573	140600
DB00573	165720
DB00573	607850
DB00573	165720
DB00945	140600
DB00945	165720
DB00945	607850
DB00945	165720
DB01009	140600
DB01009	165720
DB01009	607850
DB01009	165720
DB00328	140600
DB00328	165720
DB00328	607850
DB00328	165720
DB00482	140600
DB00482	165720
DB00482	607850
DB00482	165720
DB01050	140600
DB01050	165720
