Drug	Disease
DB01085	137750
DB01085	601682
DB01144	137750
DB01144	601682
DB01194	137750
DB01194	601682
DB01210	137750
DB01210	601682
DB01214	137750
DB01214	601682
DB01229	137750
DB01229	601682
DB06826	137750
DB06826	601682
DB08819	137750
DB08819	601682
DB09351	137750
DB09351	601682
DB00136	241519
DB00146	241519
DB01070	241519
DB09525	241519
DB00136	146255
DB00153	146255
DB00169	146255
DB01070	146255
DB01436	146255
DB05829	146255
DB00145	608088
DB00318	608088
DB00327	608088
DB00388	608088
DB00397	608088
DB00462	608088
DB00514	608088
DB00725	608088
DB00747	608088
DB00868	608088
DB00874	608088
DB00956	608088
DB01086	608088
DB01176	608088
DB01237	608088
DB01240	608088
DB01551	608088
DB01620	608088
DB04837	608088
DB06715	608088
DB06767	608088
DB08936	608088
DB09154	608088
DB00145	607154
DB00180	607154
DB00201	607154
DB00283	607154
DB00316	607154
DB00318	607154
DB00332	607154
DB00341	607154
DB00366	607154
DB00388	607154
DB00394	607154
DB00397	607154
DB00405	607154
DB00420	607154
DB00427	607154
DB00434	607154
DB00443	607154
DB00455	607154
DB00462	607154
DB00471	607154
DB00514	607154
DB00557	607154
DB00588	607154
DB00620	607154
DB00635	607154
DB00637	607154
DB00719	607154
DB00741	607154
DB00747	607154
DB00748	607154
DB00764	607154
DB00768	607154
DB00792	607154
DB00835	607154
DB00852	607154
DB00860	607154
DB00874	607154
DB00885	607154
DB00902	607154
DB00936	607154
DB00950	607154
DB00956	607154
DB00959	607154
DB00967	607154
DB00972	607154
DB01003	607154
DB01114	607154
DB01146	607154
DB01176	607154
DB01222	607154
DB01234	607154
DB01240	607154
DB01246	607154
DB01260	607154
DB01364	607154
DB01380	607154
DB01410	607154
DB01411	607154
DB01551	607154
DB01619	607154
DB01620	607154
DB04837	607154
DB06282	607154
DB06691	607154
DB06715	607154
DB07615	607154
DB08799	607154
DB08906	607154
DB08936	607154
DB09488	607154
DB09555	607154
DB11591	607154
DB00152	277730
DB00153	259660
DB00169	259660
DB00153	277440
DB00169	277440
DB00153	102500
DB00153	166710
DB00153	166710
DB00169	102500
DB00169	166710
DB00169	166710
DB00399	102500
DB00399	166710
DB00399	166710
DB00884	102500
DB00884	166710
DB00884	166710
DB01022	102500
DB01022	166710
DB01022	166710
DB01377	102500
DB01377	166710
DB01377	166710
DB06255	102500
DB06255	166710
DB06255	166710
DB06643	102500
DB06643	166710
DB06643	166710
DB00162	115300
DB00162	277350
DB00163	277460
DB00165	266100
DB00175	540000
DB00175	601367
DB00178	540000
DB00178	601367
DB00381	540000
DB00381	601367
DB00641	540000
DB00641	601367
DB00966	540000
DB00966	601367
DB01076	540000
DB01076	601367
DB01098	540000
DB01098	601367
DB09030	540000
DB09030	601367
DB00175	144250
DB00227	144250
DB00627	144250
DB00641	144250
DB00973	144250
DB01039	144250
DB01076	144250
DB01095	144250
DB01098	144250
DB08860	144250
DB00176	164230
DB00176	164230
DB00176	164230
DB00472	164230
DB00472	164230
DB00472	164230
DB00715	164230
DB00715	164230
DB00715	164230
DB01104	164230
DB01104	164230
DB01104	164230
DB01242	164230
DB01242	164230
DB01242	164230
DB00177	161900
DB00177	608622
DB00178	161900
DB00178	608622
DB00195	161900
DB00195	608622
DB00206	161900
DB00206	608622
DB00214	161900
DB00214	608622
DB00226	161900
DB00226	608622
DB00232	161900
DB00232	608622
DB00264	161900
DB00264	608622
DB00270	161900
DB00270	608622
DB00275	161900
DB00275	608622
DB00310	161900
DB00310	608622
DB00325	161900
DB00325	608622
DB00335	161900
DB00335	608622
DB00343	161900
DB00343	608622
DB00350	161900
DB00350	608622
DB00373	161900
DB00373	608622
DB00381	161900
DB00381	608622
DB00384	161900
DB00384	608622
DB00401	161900
DB00401	608622
DB00421	161900
DB00421	608622
DB00436	161900
DB00436	608622
DB00457	161900
DB00457	608622
DB00492	161900
DB00492	608622
DB00519	161900
DB00519	608622
DB00521	161900
DB00521	608622
DB00524	161900
DB00524	608622
DB00528	161900
DB00528	608622
DB00542	161900
DB00542	608622
DB00571	161900
DB00571	608622
DB00575	161900
DB00575	608622
DB00584	161900
DB00584	608622
DB00590	161900
DB00590	608622
DB00594	161900
DB00594	608622
DB00598	161900
DB00598	608622
DB00612	161900
DB00612	608622
DB00622	161900
DB00622	608622
DB00629	161900
DB00629	608622
DB00657	161900
DB00657	608622
DB00661	161900
DB00661	608622
DB00678	161900
DB00678	608622
DB00691	161900
DB00691	608622
DB00695	161900
DB00695	608622
DB00700	161900
DB00700	608622
DB00722	161900
DB00722	608622
DB00774	161900
DB00774	608622
DB00790	161900
DB00790	608622
DB00796	161900
DB00796	608622
DB00808	161900
DB00808	608622
DB00876	161900
DB00876	608622
DB00880	161900
DB00880	608622
DB00881	161900
DB00881	608622
DB00960	161900
DB00960	608622
DB00966	161900
DB00966	608622
DB00968	161900
DB00968	608622
DB00982	161900
DB00982	608622
DB00999	161900
DB00999	608622
DB01018	161900
DB01018	608622
DB01021	161900
DB01021	608622
DB01023	161900
DB01023	608622
DB01029	161900
DB01029	608622
DB01076	161900
DB01076	608622
DB01115	161900
DB01115	608622
DB01136	161900
DB01136	608622
DB01162	161900
DB01162	608622
DB01170	161900
DB01170	608622
DB01193	161900
DB01193	608622
DB01197	161900
DB01197	608622
DB01203	161900
DB01203	608622
DB01229	161900
DB01229	608622
DB01275	161900
DB01275	608622
DB01324	161900
DB01324	608622
DB01340	161900
DB01340	608622
DB01348	161900
DB01348	608622
DB01349	161900
DB01349	608622
DB01359	161900
DB01359	608622
DB01580	161900
DB01580	608622
DB01626	161900
DB01626	608622
DB04846	161900
DB04846	608622
DB04861	161900
DB04861	608622
DB04920	161900
DB04920	608622
DB08808	161900
DB08808	608622
DB08822	161900
DB08822	608622
DB09026	161900
DB09026	608622
DB09229	161900
DB09229	608622
DB09230	161900
DB09230	608622
DB09235	161900
DB09235	608622
DB09279	161900
DB09279	608622
DB09477	161900
DB09477	608622
DB00182	264120
DB00182	303110
DB00182	601665
DB00182	601665
DB00191	264120
DB00191	303110
DB00191	601665
DB00191	601665
DB00579	264120
DB00579	303110
DB00579	601665
DB00579	601665
DB00704	264120
DB00704	303110
DB00704	601665
DB00704	601665
DB00830	264120
DB00830	303110
DB00830	601665
DB00830	601665
DB00865	264120
DB00865	303110
DB00865	601665
DB00865	601665
DB00937	264120
DB00937	303110
DB00937	601665
DB00937	601665
DB01083	264120
DB01083	303110
DB01083	601665
DB01083	601665
DB01105	264120
DB01105	303110
DB01105	601665
DB01105	601665
DB01156	264120
DB01156	303110
DB01156	601665
DB01156	601665
DB01191	264120
DB01191	303110
DB01191	601665
DB01191	601665
DB01550	264120
DB01550	303110
DB01550	601665
DB01550	601665
DB01577	264120
DB01577	303110
DB01577	601665
DB01577	601665
DB01579	264120
DB01579	303110
DB01579	601665
DB01579	601665
DB04871	264120
DB04871	303110
DB04871	601665
DB04871	601665
DB06155	264120
DB06155	303110
DB06155	601665
DB06155	601665
DB00182	143465
DB00182	143465
DB00182	143465
DB00289	143465
DB00289	143465
DB00289	143465
DB00422	143465
DB00422	143465
DB00422	143465
DB00575	143465
DB00575	143465
DB00575	143465
DB01018	143465
DB01018	143465
DB01018	143465
DB01255	143465
DB01255	143465
DB01255	143465
DB01576	143465
DB01576	143465
DB01576	143465
DB01577	143465
DB01577	143465
DB01577	143465
DB06701	143465
DB06701	143465
DB06701	143465
DB00186	254770
DB00186	254800
DB01068	254770
DB01068	254800
DB01595	254770
DB01595	254800
DB09118	254770
DB09118	254800
DB00186	607834
DB00371	607834
DB00404	607834
DB00475	607834
DB00628	607834
DB00683	607834
DB00801	607834
DB00829	607834
DB00831	607834
DB00842	607834
DB00849	607834
DB01142	607834
DB01178	607834
DB01545	607834
DB01580	607834
DB01588	607834
DB09166	607834
DB00187	607554
DB00187	608583
DB00343	607554
DB00343	608583
DB00390	607554
DB00390	608583
DB00571	607554
DB00571	608583
DB00661	607554
DB00661	608583
DB00975	607554
DB00975	608583
DB00188	254500
DB00188	254500
DB00262	254500
DB00262	254500
DB00480	254500
DB00480	254500
DB00531	254500
DB00531	254500
DB00997	254500
DB00997	254500
DB01041	254500
DB01041	254500
DB01042	254500
DB01042	254500
DB01234	254500
DB01234	254500
DB06317	254500
DB06317	254500
DB06603	254500
DB06603	254500
DB06809	254500
DB06809	254500
DB08889	254500
DB08889	254500
DB08910	254500
DB08910	254500
DB09331	254500
DB09331	254500
DB09570	254500
DB09570	254500
DB00190	168100
DB00190	168600
DB00190	168600
DB00245	168100
DB00245	168600
DB00245	168600
DB00268	168100
DB00268	168600
DB00268	168600
DB00323	168100
DB00323	168600
DB00323	168600
DB00368	168100
DB00368	168600
DB00368	168600
DB00376	168100
DB00376	168600
DB00376	168600
DB00387	168100
DB00387	168600
DB00387	168600
DB00413	168100
DB00413	168600
DB00413	168600
DB00494	168100
DB00494	168600
DB00494	168600
DB00714	168100
DB00714	168600
DB00714	168600
DB00810	168100
DB00810	168600
DB00810	168600
DB00915	168100
DB00915	168600
DB00915	168600
DB00942	168100
DB00942	168600
DB00942	168600
DB00988	168100
DB00988	168600
DB00988	168600
DB01037	168100
DB01037	168600
DB01037	168600
DB01200	168100
DB01200	168600
DB01200	168600
DB01235	168100
DB01235	168600
DB01235	168600
DB01367	168100
DB01367	168600
DB01367	168600
DB05271	168100
DB05271	168600
DB05271	168600
DB06262	168100
DB06262	168600
DB06262	168600
DB00190	125320
DB00245	125320
DB00340	125320
DB00376	125320
DB00387	125320
DB00810	125320
DB00915	125320
DB00988	125320
DB01173	125320
DB01186	125320
DB01235	125320
DB00193	140600
DB00193	165720
DB00193	607850
DB00193	165720
DB00328	140600
DB00328	165720
DB00328	607850
DB00328	165720
DB00461	140600
DB00461	165720
DB00461	607850
DB00461	165720
DB00482	140600
DB00482	165720
DB00482	607850
DB00482	165720
DB00500	140600
DB00500	165720
DB00500	607850
DB00500	165720
DB00554	140600
DB00554	165720
DB00554	607850
DB00554	165720
DB00573	140600
DB00573	165720
DB00573	607850
DB00573	165720
DB00586	140600
DB00586	165720
DB00586	607850
DB00586	165720
DB00605	140600
DB00605	165720
DB00605	607850
DB00605	165720
DB00667	140600
DB00667	165720
DB00667	607850
DB00667	165720
DB00712	140600
DB00712	165720
DB00712	607850
DB00712	165720
DB00749	140600
DB00749	165720
DB00749	607850
DB00749	165720
DB00788	140600
DB00788	165720
DB00788	607850
DB00788	165720
DB00814	140600
DB00814	165720
DB00814	607850
DB00814	165720
DB00861	140600
DB00861	165720
DB00861	607850
DB00861	165720
DB00936	140600
DB00936	165720
DB00936	607850
DB00936	165720
DB00939	140600
DB00939	165720
DB00939	607850
DB00939	165720
DB00945	140600
DB00945	165720
DB00945	607850
DB00945	165720
DB00991	140600
DB00991	165720
DB00991	607850
DB00991	165720
DB01009	140600
DB01009	165720
DB01009	607850
DB01009	165720
DB01050	140600
DB01050	165720
DB01050	607850
DB01050	165720
DB01283	140600
DB01283	165720
DB01283	607850
DB01283	165720
DB01356	140600
DB01356	165720
DB01356	607850
DB01356	165720
DB01397	140600
DB01397	165720
DB01397	607850
DB01397	165720
DB01399	140600
DB01399	165720
DB01399	607850
DB01399	165720
DB01600	140600
DB01600	165720
DB01600	607850
DB01600	165720
DB08984	140600
DB08984	165720
DB08984	607850
DB08984	165720
DB09213	140600
DB09213	165720
DB09213	607850
DB09213	165720
DB11320	140600
DB11320	165720
DB11320	607850
DB11320	165720
DB00193	147530
DB00201	147530
DB00295	147530
DB00316	147530
DB00318	147530
DB00327	147530
DB00454	147530
DB00573	147530
DB00586	147530
DB00611	147530
DB00647	147530
DB00652	147530
DB00749	147530
DB00784	147530
DB00788	147530
DB00813	147530
DB00844	147530
DB00854	147530
DB00861	147530
DB00936	147530
DB00939	147530
DB00945	147530
DB00956	147530
DB00963	147530
DB01009	147530
DB01050	147530
DB01183	147530
DB01192	147530
DB01209	147530
DB01356	147530
DB01397	147530
DB01551	147530
DB01600	147530
DB06204	147530
DB06725	147530
DB08797	147530
DB09084	147530
DB09213	147530
DB09396	147530
DB00199	604416
DB00210	604416
DB00250	604416
DB00254	604416
DB00548	604416
DB00634	604416
DB00655	604416
DB00681	604416
DB00717	604416
DB00741	604416
DB00755	604416
DB00759	604416
DB00783	604416
DB00799	604416
DB00936	604416
DB00957	604416
DB00977	604416
DB01017	604416
DB01190	604416
DB01380	604416
DB01395	604416
DB02701	604416
DB02703	604416
DB09096	604416
DB09353	604416
DB00201	601042
DB00356	601042
DB00395	601042
DB00423	601042
DB00660	601042
DB00697	601042
DB00829	601042
DB00856	601042
DB00924	601042
DB01173	601042
DB01219	601042
DB11582	601042
DB00201	300125
DB00201	157300
DB00216	300125
DB00216	157300
DB00315	300125
DB00315	157300
DB00316	300125
DB00316	157300
DB00320	300125
DB00320	157300
DB00589	300125
DB00589	157300
DB00669	300125
DB00669	157300
DB00696	300125
DB00696	157300
DB00788	300125
DB00788	157300
DB00918	300125
DB00918	157300
DB00936	300125
DB00936	157300
DB00945	300125
DB00945	157300
DB00952	300125
DB00952	157300
DB00953	300125
DB00953	157300
DB00998	300125
DB00998	157300
DB01174	300125
DB01174	157300
DB00211	146500
DB00213	109350
DB00213	109350
DB00338	109350
DB00338	109350
DB00448	109350
DB00448	109350
DB00501	109350
DB00501	109350
DB00585	109350
DB00585	109350
DB00604	109350
DB00604	109350
DB00736	109350
DB00736	109350
DB00863	109350
DB00863	109350
DB00927	109350
DB00927	109350
DB01129	109350
DB01129	109350
DB01233	109350
DB01233	109350
DB06723	109350
DB06723	109350
DB08806	109350
DB08806	109350
DB09087	109350
DB09087	109350
DB09104	109350
DB09104	109350
DB09154	109350
DB09154	109350
DB09281	109350
DB09281	109350
DB09481	109350
DB09481	109350
DB00214	215140
DB00214	600351
DB00232	215140
DB00232	600351
DB00310	215140
DB00310	600351
DB00384	215140
DB00384	600351
DB00421	215140
DB00421	600351
DB00594	215140
DB00594	600351
DB00695	215140
DB00695	600351
DB00742	215140
DB00742	600351
DB00774	215140
DB00774	600351
DB00808	215140
DB00808	600351
DB00819	215140
DB00819	600351
DB00880	215140
DB00880	600351
DB00887	215140
DB00887	600351
DB00903	215140
DB00903	600351
DB00999	215140
DB00999	600351
DB00215	608516
DB00234	608516
DB00285	608516
DB00334	608516
DB00370	608516
DB00472	608516
DB00476	608516
DB00656	608516
DB00715	608516
DB00752	608516
DB01037	608516
DB01149	608516
DB01156	608516
DB01175	608516
DB01247	608516
DB06148	608516
DB06594	608516
DB06684	608516
DB06700	608516
DB08918	608516
DB09068	608516
DB09128	608516
DB09167	608516
DB00223	603165
DB00223	603165
DB00240	603165
DB00240	603165
DB00288	603165
DB00288	603165
DB00443	603165
DB00443	603165
DB00547	603165
DB00547	603165
DB00557	603165
DB00557	603165
DB00588	603165
DB00588	603165
DB00591	603165
DB00591	603165
DB00620	603165
DB00620	603165
DB00663	603165
DB00663	603165
DB00741	603165
DB00741	603165
DB00846	603165
DB00846	603165
DB00860	603165
DB00860	603165
DB00959	603165
DB00959	603165
DB01130	603165
DB01130	603165
DB01234	603165
DB01234	603165
DB06768	603165
DB06768	603165
DB06786	603165
DB06786	603165
DB00246	181500
DB00246	181500
DB00246	181500
DB00334	181500
DB00334	181500
DB00334	181500
DB00391	181500
DB00391	181500
DB00391	181500
DB00408	181500
DB00408	181500
DB00408	181500
DB00420	181500
DB00420	181500
DB00420	181500
DB00433	181500
DB00433	181500
DB00433	181500
DB00477	181500
DB00477	181500
DB00477	181500
DB00502	181500
DB00502	181500
DB00502	181500
DB00623	181500
DB00623	181500
DB00623	181500
DB00734	181500
DB00734	181500
DB00734	181500
DB00831	181500
DB00831	181500
DB00831	181500
DB00850	181500
DB00850	181500
DB00850	181500
DB00875	181500
DB00875	181500
DB00875	181500
DB00933	181500
DB00933	181500
DB00933	181500
DB01224	181500
DB01224	181500
DB01224	181500
DB01238	181500
DB01238	181500
DB01238	181500
DB01239	181500
DB01239	181500
DB01239	181500
DB01267	181500
DB01267	181500
DB01267	181500
DB01618	181500
DB01618	181500
DB01618	181500
DB01621	181500
DB01621	181500
DB01621	181500
DB01623	181500
DB01623	181500
DB01623	181500
DB04842	181500
DB04842	181500
DB04842	181500
DB04946	181500
DB04946	181500
DB04946	181500
DB06016	181500
DB06016	181500
DB06016	181500
DB06144	181500
DB06144	181500
DB06144	181500
DB06216	181500
DB06216	181500
DB06216	181500
DB08815	181500
DB08815	181500
DB08815	181500
DB08922	181500
DB08922	181500
DB08922	181500
DB09128	181500
DB09128	181500
DB09128	181500
DB09223	181500
DB09223	181500
DB09223	181500
DB00248	615555
DB01200	615555
DB00250	246300
DB00845	246300
DB00252	208700
DB00252	267740
DB00252	300491
DB00252	600131
DB00252	604827
DB00252	607628
DB00252	607631
DB00252	607681
DB00252	607682
DB00252	608105
DB00312	208700
DB00312	267740
DB00312	300491
DB00312	600131
DB00312	604827
DB00312	607628
DB00312	607631
DB00312	607681
DB00312	607682
DB00312	608105
DB00313	208700
DB00313	267740
DB00313	300491
DB00313	600131
DB00313	604827
DB00313	607628
DB00313	607631
DB00313	607681
DB00313	607682
DB00313	608105
DB00347	208700
DB00347	267740
DB00347	300491
DB00347	600131
DB00347	604827
DB00347	607628
DB00347	607631
DB00347	607681
DB00347	607682
DB00347	608105
DB00418	208700
DB00418	267740
DB00418	300491
DB00418	600131
DB00418	604827
DB00418	607628
DB00418	607631
DB00418	607681
DB00418	607682
DB00418	608105
DB00555	208700
DB00555	267740
DB00555	300491
DB00555	600131
DB00555	604827
DB00555	607628
DB00555	607631
DB00555	607681
DB00555	607682
DB00555	608105
DB00564	208700
DB00564	267740
DB00564	300491
DB00564	600131
DB00564	604827
DB00564	607628
DB00564	607631
DB00564	607681
DB00564	607682
DB00564	608105
DB00599	208700
DB00599	267740
DB00599	300491
DB00599	600131
DB00599	604827
DB00599	607628
DB00599	607631
DB00599	607681
DB00599	607682
DB00599	608105
DB00617	208700
DB00617	267740
DB00617	300491
DB00617	600131
DB00617	604827
DB00617	607628
DB00617	607631
DB00617	607681
DB00617	607682
DB00617	608105
DB00794	208700
DB00794	267740
DB00794	300491
DB00794	600131
DB00794	604827
DB00794	607628
DB00794	607631
DB00794	607681
DB00794	607682
DB00794	608105
DB00832	208700
DB00832	267740
DB00832	300491
DB00832	600131
DB00832	604827
DB00832	607628
DB00832	607631
DB00832	607681
DB00832	607682
DB00832	608105
DB00849	208700
DB00849	267740
DB00849	300491
DB00849	600131
DB00849	604827
DB00849	607628
DB00849	607631
DB00849	607681
DB00849	607682
DB00849	608105
DB00949	208700
DB00949	267740
DB00949	300491
DB00949	600131
