diseaseid,hpoid
134430,hpo:0008169
227300,hpo:0000007
227300,hpo:0003125
227300,hpo:0001892
227300,hpo:0003225
134500,hpo:0000006
134500,hpo:0003125
134500,hpo:0001892
157950,hpo:0000006
157950,hpo:0004209
157950,hpo:0000303
157950,hpo:0000164
254200,hpo:0000508
254200,hpo:0001260
254200,hpo:0010628
254200,hpo:0000818
254200,hpo:0001611
254200,hpo:0003701
254200,hpo:0001426
254200,hpo:0002015
254200,hpo:0002960
254200,hpo:0003690
254200,hpo:0002715
254200,hpo:0003473
254200,hpo:0100522
254200,hpo:0005216
254200,hpo:0000651
300494,hpo:0003745
300494,hpo:0000733
300494,hpo:0001425
300494,hpo:0001417
300494,hpo:0000732
300494,hpo:0000717
300494,hpo:0003621
300494,hpo:0001426
300494,hpo:0000723
300494,hpo:0000721
300494,hpo:0000758
300494,hpo:0000728
181500,hpo:0000006
181500,hpo:0001425
181500,hpo:0002353
181500,hpo:0100753
181500,hpo:0000746
181500,hpo:0000738
181500,hpo:0007086
181500,hpo:0410291
178600,hpo:0000006
178600,hpo:0002094
178600,hpo:0003829
178600,hpo:0001009
178600,hpo:0000822
178600,hpo:0001667
178600,hpo:0002092
178600,hpo:0001708
178600,hpo:0004964
178600,hpo:0005168
178600,hpo:0001977
178600,hpo:0005317
178600,hpo:0005308
178600,hpo:0005312
178600,hpo:0011353
247640,hpo:0000007
247640,hpo:0002665
247640,hpo:0006727
102500,hpo:0000006
102500,hpo:0000028
102500,hpo:0000369
102500,hpo:0000574
102500,hpo:0000405
102500,hpo:0000286
102500,hpo:0000445
102500,hpo:0004322
102500,hpo:0002756
102500,hpo:0000238
102500,hpo:0000470
102500,hpo:0000047
102500,hpo:0002857
102500,hpo:0000939
102500,hpo:0000506
102500,hpo:0000218
102500,hpo:0000689
102500,hpo:0000343
102500,hpo:0001388
102500,hpo:0001508
102500,hpo:0000023
102500,hpo:0000107
102500,hpo:0000938
102500,hpo:0001643
102500,hpo:0000347
102500,hpo:0000494
102500,hpo:0001007
102500,hpo:0000463
102500,hpo:0002751
102500,hpo:0000527
102500,hpo:0000664
102500,hpo:0003083
102500,hpo:0000280
102500,hpo:0009771
102500,hpo:0006480
102500,hpo:0002566
102500,hpo:0002645
102500,hpo:0001799
102500,hpo:0001537
102500,hpo:0001842
102500,hpo:0000293
102500,hpo:0001671
102500,hpo:0004586
102500,hpo:0009748
102500,hpo:0002688
102500,hpo:0008462
102500,hpo:0002953
102500,hpo:0005758
102500,hpo:0006180
102500,hpo:0008421
102500,hpo:0005463
215470,hpo:0003676
215470,hpo:0000007
215470,hpo:0001257
215470,hpo:0001284
215470,hpo:0001256
215470,hpo:0001251
215470,hpo:0001265
215470,hpo:0002080
215470,hpo:0001272
215470,hpo:0002066
215470,hpo:0000613
215470,hpo:0003621
215470,hpo:0000044
215470,hpo:0003693
215470,hpo:0002127
215470,hpo:0002168
215470,hpo:0000529
215470,hpo:0000556
215470,hpo:0001135
215470,hpo:0007263
215470,hpo:0030339
601518,hpo:0000006
601518,hpo:0002664
601518,hpo:0012125
311360,hpo:0001417
311360,hpo:0001939
311360,hpo:0000858
311360,hpo:0008209
311360,hpo:0000837
176807,hpo:0000006
176807,hpo:0001428
176807,hpo:0012125
192000,hpo:0000006
192000,hpo:0000813
137750,hpo:0000006
137750,hpo:0000545
137750,hpo:0000501
137750,hpo:0007905
145500,hpo:0001426
145500,hpo:0004421
145500,hpo:0004972
145500,hpo:0005117
225755,hpo:0000007
225755,hpo:0001257
225755,hpo:0001298
225755,hpo:0001256
225755,hpo:0001251
225755,hpo:0002119
225755,hpo:0001363
225755,hpo:0000546
225755,hpo:0000824
225755,hpo:0003510
225755,hpo:0002514
225755,hpo:0002617
608033,hpo:0000006
608033,hpo:0001298
608033,hpo:0001250
608033,hpo:0003593
608033,hpo:0003829
608033,hpo:0002510
608033,hpo:0002090
608033,hpo:0002171
608033,hpo:0001276
608033,hpo:0001259
608033,hpo:0002181
608033,hpo:0002922
608033,hpo:0002445
260970,hpo:0000007
260970,hpo:0001251
260970,hpo:0001271
260970,hpo:0007267
260970,hpo:0007313
260970,hpo:0006976
225740,hpo:0000007
225740,hpo:0001290
225740,hpo:0001252
225740,hpo:0000518
225740,hpo:0001638
225740,hpo:0007371
225740,hpo:0008978
225740,hpo:0007239
215140,hpo:0000007
215140,hpo:0000369
215140,hpo:0002089
215140,hpo:0002240
215140,hpo:0000327
215140,hpo:0000476
215140,hpo:0000316
215140,hpo:0009803
215140,hpo:0003027
215140,hpo:0010655
215140,hpo:0000256
215140,hpo:0002983
215140,hpo:0001169
215140,hpo:0001640
215140,hpo:0000347
215140,hpo:0000774
215140,hpo:0009487
215140,hpo:0000773
215140,hpo:0001539
215140,hpo:0001162
215140,hpo:0005280
215140,hpo:0008873
215140,hpo:0003811
215140,hpo:0000272
215140,hpo:0000348
215140,hpo:0001561
215140,hpo:0008905
215140,hpo:0001433
215140,hpo:0002101
215140,hpo:0001852
215140,hpo:0002566
215140,hpo:0001790
215140,hpo:0002202
215140,hpo:0000782
215140,hpo:0003826
215140,hpo:0005855
215140,hpo:0003440
215140,hpo:0010675
215140,hpo:0001552
215140,hpo:0004599
215140,hpo:0001367
215140,hpo:0005528
215140,hpo:0003015
215140,hpo:0000692
215140,hpo:0003021
215140,hpo:0000890
215140,hpo:0001830
215140,hpo:0008420
215140,hpo:0006487
215140,hpo:0004331
215140,hpo:0001804
215140,hpo:0005019
215140,hpo:0006619
215140,hpo:0004510
215140,hpo:0000878
215140,hpo:0001802
215140,hpo:0002694
215140,hpo:0008479
215140,hpo:0003107
215140,hpo:0000941
215140,hpo:0005716
215140,hpo:0006559
215140,hpo:0001978
215140,hpo:0008754
215140,hpo:0002787
215140,hpo:0009106
215140,hpo:0009107
215140,hpo:0010659
215140,hpo:0008516
215140,hpo:0000315
215140,hpo:0008364
215140,hpo:0006637
215140,hpo:0004598
215140,hpo:0005099
256370,hpo:0000006
256370,hpo:0003676
256370,hpo:0000007
256370,hpo:0000100
256370,hpo:0001967
256370,hpo:0011463
256370,hpo:0000083
256370,hpo:0000097
256370,hpo:0002667
600351,hpo:0000006
600351,hpo:0004315
600351,hpo:0002013
600351,hpo:0003073
600351,hpo:0001875
600351,hpo:0003075
600351,hpo:0000969
600351,hpo:0002242
600351,hpo:0002039
600351,hpo:0005208
600351,hpo:0031273
203700,hpo:0000007
203700,hpo:0001290
203700,hpo:0002240
203700,hpo:0001251
203700,hpo:0100704
203700,hpo:0001252
203700,hpo:0001272
203700,hpo:0001263
203700,hpo:0001508
203700,hpo:0003593
203700,hpo:0001336
203700,hpo:0001399
203700,hpo:0002151
203700,hpo:0000649
203700,hpo:0002013
203700,hpo:0002376
203700,hpo:0003470
203700,hpo:0000726
203700,hpo:0000572
203700,hpo:0002171
203700,hpo:0002529
203700,hpo:0001276
203700,hpo:0002133
203700,hpo:0002910
203700,hpo:0003678
203700,hpo:0001414
203700,hpo:0003535
203700,hpo:0001408
203700,hpo:0002446
203700,hpo:0002922
203700,hpo:0003219
203700,hpo:0012847
203700,hpo:0001413
203700,hpo:0006964
208300,hpo:0000007
208300,hpo:0000501
208300,hpo:0012281
137800,hpo:0000006
137800,hpo:0012174
137800,hpo:0001428
137800,hpo:0009592
137800,hpo:0002888
267730,hpo:0000007
267730,hpo:0100242
254500,hpo:0000007
254500,hpo:0001871
254500,hpo:0001428
254500,hpo:0011034
254500,hpo:0006775
254500,hpo:0031047
540000,hpo:0002069
540000,hpo:0001298
540000,hpo:0003828
540000,hpo:0100704
540000,hpo:0002401
540000,hpo:0003737
540000,hpo:0003200
540000,hpo:0000819
540000,hpo:0001427
540000,hpo:0000519
540000,hpo:0000726
540000,hpo:0001635
540000,hpo:0003198
540000,hpo:0001712
540000,hpo:0000822
540000,hpo:0001716
540000,hpo:0003128
540000,hpo:0001507
540000,hpo:0001269
540000,hpo:0000408
540000,hpo:0002572
540000,hpo:0000602
540000,hpo:0008619
540000,hpo:0002076
540000,hpo:0005162
540000,hpo:0012377
125310,hpo:0000006
125310,hpo:0001250
125310,hpo:0001297
125310,hpo:0001288
125310,hpo:0003581
125310,hpo:0002352
125310,hpo:0000951
125310,hpo:0009830
125310,hpo:0000649
125310,hpo:0000572
125310,hpo:0002619
125310,hpo:0000020
125310,hpo:0000708
125310,hpo:0000512
125310,hpo:0007024
125310,hpo:0002076
125310,hpo:0007634
125310,hpo:0007123
125310,hpo:0007236
601367,hpo:0001297
150600,hpo:0000006
150600,hpo:0004322
150600,hpo:0002750
150600,hpo:0001426
150600,hpo:0005743
166710,hpo:0000006
166710,hpo:0000939
602080,hpo:0000006
602080,hpo:0003676
602080,hpo:0003828
602080,hpo:0001425
602080,hpo:0002653
602080,hpo:0003155
602080,hpo:0006480
602080,hpo:0002423
602080,hpo:0002385
602080,hpo:0002644
602080,hpo:0002659
602080,hpo:0002797
602080,hpo:0002512
602080,hpo:0002273
602080,hpo:0002953
602080,hpo:0006824
602080,hpo:0008513
602080,hpo:0003080
602080,hpo:0003084
167320,hpo:0000006
167320,hpo:0003236
167320,hpo:0003724
167320,hpo:0010628
167320,hpo:0001288
167320,hpo:0003701
167320,hpo:0001332
167320,hpo:0003693
167320,hpo:0003805
167320,hpo:0007354
167320,hpo:0000726
167320,hpo:0003198
167320,hpo:0002145
167320,hpo:0003551
167320,hpo:0003547
167320,hpo:0003691
167320,hpo:0002644
167320,hpo:0002938
167320,hpo:0003690
167320,hpo:0002357
167320,hpo:0003418
167320,hpo:0010639
167320,hpo:0003749
167320,hpo:0006913
167320,hpo:0030838
167320,hpo:0008946
167320,hpo:0008988
167320,hpo:0007112
607459,hpo:0000407
607459,hpo:0000007
607459,hpo:0100543
607459,hpo:0000639
607459,hpo:0001284
607459,hpo:0006886
607459,hpo:0003236
607459,hpo:0001250
607459,hpo:0000508
607459,hpo:0001260
607459,hpo:0001265
607459,hpo:0001644
607459,hpo:0000518
607459,hpo:0003701
607459,hpo:0003581
607459,hpo:0001336
607459,hpo:0003200
607459,hpo:0002151
607459,hpo:0007240
607459,hpo:0003713
607459,hpo:0000716
607459,hpo:0000590
607459,hpo:0003557
607459,hpo:0001751
607459,hpo:0003548
607459,hpo:0002403
607459,hpo:0003688
607459,hpo:0008180
607459,hpo:0002076
607459,hpo:0003390
607459,hpo:0031987
607459,hpo:0006858
607459,hpo:0007344
607459,hpo:0004389
607459,hpo:0003689
607459,hpo:0002578
607459,hpo:0003434
208230,hpo:0000007
208230,hpo:0000926
208230,hpo:0000939
208230,hpo:0001324
208230,hpo:0003016
208230,hpo:0002355
208230,hpo:0002515
208230,hpo:0002751
208230,hpo:0100490
208230,hpo:0002970
208230,hpo:0001760
208230,hpo:0002812
208230,hpo:0002758
208230,hpo:0003040
208230,hpo:0001386
208230,hpo:0001387
208230,hpo:0006163
208230,hpo:0003071
208230,hpo:0006247
208230,hpo:0010580
208230,hpo:0004576
208230,hpo:0003371
208230,hpo:0004637
308205,hpo:0000365
308205,hpo:0001596
308205,hpo:0000028
308205,hpo:0002079
308205,hpo:0012444
308205,hpo:0000252
308205,hpo:0001250
308205,hpo:0003828
308205,hpo:0002650
308205,hpo:0001249
308205,hpo:0004322
308205,hpo:0002119
308205,hpo:0000122
308205,hpo:0001419
308205,hpo:0001263
308205,hpo:0000175
308205,hpo:0003577
308205,hpo:0000023
308205,hpo:0002164
308205,hpo:0000968
308205,hpo:0000613
308205,hpo:0000003
308205,hpo:0001162
308205,hpo:0000958
308205,hpo:0002251
308205,hpo:0000491
308205,hpo:0000110
308205,hpo:0040189
308205,hpo:0003468
308205,hpo:0001537
308205,hpo:0008404
308205,hpo:0000966
308205,hpo:0000495
308205,hpo:0002223
308205,hpo:0002827
308205,hpo:0000561
308205,hpo:0007759
308205,hpo:0001019
308205,hpo:0007502
308205,hpo:0002542
308205,hpo:0001562
308205,hpo:0000772
308205,hpo:0005254
106400,hpo:0000006
106400,hpo:0008442
106400,hpo:0007508
140600,hpo:0000006
