diseaseid,hpoid
171300,mesh:D000311
171300,mesh:D009364
171300,mesh:D016147
171300,mesh:D013268
171300,mesh:D006406
171300,mesh:D008025
171300,mesh:D000317
171300,mesh:D015972
171300,mesh:D000798
171300,mesh:D013489
171300,mesh:D016514
171300,mesh:D012372
171300,mesh:D013964
171300,mesh:D009377
171300,mesh:D006852
171300,mesh:D049672
171300,mesh:D013899
171300,mesh:D051096
171300,mesh:D002395
171300,mesh:D009414
171300,mesh:D016609
171300,mesh:D046228
171300,mesh:D012504
171300,mesh:D006632
171300,mesh:D042822
171300,mesh:D051778
171300,mesh:D010281
171300,mesh:D009463
171300,mesh:D009432
171300,mesh:D027981
171300,mesh:D002292
171300,mesh:D051097
171300,mesh:D011656
171300,mesh:D033481
171300,mesh:D000804
171300,mesh:D018813
171300,mesh:D015179
171300,mesh:D014055
171300,mesh:D008527
171300,mesh:D006916
171300,mesh:D012078
171300,mesh:D016716
171300,mesh:D005462
171300,mesh:D009187
171300,mesh:D000008
171300,mesh:D019797
171300,mesh:D018276
171300,mesh:D017874
171300,mesh:D000315
171300,mesh:D005918
171300,mesh:D003926
171300,mesh:D018814
171300,mesh:D010534
171300,mesh:D051794
171300,mesh:D019275
171300,mesh:D014682
171300,mesh:D064799
171300,mesh:D010953
171300,mesh:D014439
171300,mesh:D010643
171300,mesh:D008654
171300,mesh:D014642
171300,mesh:D009384
171300,mesh:D008048
171300,mesh:D053379
171300,mesh:D010045
171300,mesh:D008676
171300,mesh:D006729
171300,mesh:D001079
171300,mesh:D011292
171300,mesh:D011300
171300,mesh:D009647
171300,mesh:D000828
171300,mesh:D050484
171300,mesh:D001078
171300,mesh:D010646
102300,mesh:D016022
102300,mesh:D000328
102300,mesh:D005387
102300,mesh:D007558
102300,mesh:D012008
102300,mesh:D007223
102300,mesh:D005192
102300,mesh:D006579
102300,mesh:D002874
102300,mesh:D006801
102300,mesh:D020022
102300,mesh:D010641
102300,mesh:D018895
102300,mesh:D005819
102300,mesh:D017668
102300,mesh:D005838
102300,mesh:D012307
102300,mesh:D000293
102300,mesh:D011110
102300,mesh:D007150
102300,mesh:D010375
102300,mesh:D035781
102300,mesh:D011795
102300,mesh:D001921
102300,mesh:D008875
102300,mesh:D000368
102300,mesh:D005799
102300,mesh:D004252
102300,mesh:D015995
102300,mesh:D008040
102300,mesh:D005500
102300,mesh:D014157
102300,mesh:D009419
102300,mesh:D007319
102300,mesh:D006239
102300,mesh:D012016
102300,mesh:D002675
102300,mesh:D002648
102300,mesh:D000367
102300,mesh:D055815
102300,mesh:D005808
102300,mesh:D001794
102300,mesh:D004200
102300,mesh:D012720
102300,mesh:D006973
102300,mesh:D002883
102300,mesh:D020641
102300,mesh:D000483
102300,mesh:D017403
102300,mesh:D006580
102300,mesh:D009474
102300,mesh:D044465
102300,mesh:D008126
102300,mesh:D000369
102300,mesh:D008995
102300,mesh:D025063
102300,mesh:D002869
102300,mesh:D012737
102300,mesh:D002896
102300,mesh:D018450
102300,mesh:D018740
102300,mesh:D018709
102300,mesh:D008957
102300,mesh:D000927
102300,mesh:D003937
102300,mesh:D012333
102300,mesh:D013997
102300,mesh:D007438
102300,mesh:D000740
102300,mesh:D015870
102300,mesh:D011247
102300,mesh:D006720
102300,mesh:D005602
102300,mesh:D016017
102300,mesh:D011248
102300,mesh:D020189
102300,mesh:D004198
102300,mesh:D005787
102300,mesh:D011401
102300,mesh:D013577
102300,mesh:D014168
102300,mesh:D002884
102300,mesh:D009422
102300,mesh:D008543
102300,mesh:D012189
102300,mesh:D011446
102300,mesh:D012739
102300,mesh:D002985
102300,mesh:D008954
102300,mesh:D011792
102300,mesh:D010292
102300,mesh:D001168
102300,mesh:D008137
102300,mesh:D005820
102300,mesh:D012097
102300,mesh:D018398
102300,mesh:D002899
102300,mesh:D017410
102300,mesh:D009069
102300,mesh:D010507
102300,mesh:D009460
102300,mesh:D009363
102300,mesh:D017678
102300,mesh:D015897
102300,mesh:D012042
102300,mesh:D007866
102300,mesh:D006339
102300,mesh:D006454
102300,mesh:D016896
102300,mesh:D004909
102300,mesh:D008967
102300,mesh:D002230
102300,mesh:D019683
102300,mesh:D003402
102300,mesh:D002881
102300,mesh:D011263
102300,mesh:D001317
102300,mesh:D009207
102300,mesh:D002889
102300,mesh:D004311
102300,mesh:D016009
102300,mesh:D011237
102300,mesh:D011990
102300,mesh:D018598
102300,mesh:D002170
102300,mesh:D005767
102300,mesh:D004305
