?diseaseid	?hpoid
"102150"	"0000414"
"102150"	"0000581"
"102150"	"0001182"
"102150"	"0001256"
"102150"	"0001328"
"102150"	"0001520"
"102150"	"0002553"
"102200"	"0000006"
"102200"	"0000822"
"102200"	"0000858"
"102200"	"0000280"
"102200"	"0000845"
"102200"	"0000870"
"102200"	"0001428"
"102200"	"0001638"
"102200"	"0001712"
"102200"	"0002893"
"102200"	"0006767"
"102200"	"0011760"
"102200"	"0030269"
"102200"	"0040278"
"102200"	"0100829"
"102300"	"0000006"
"102300"	"0001336"
"102300"	"0001425"
"102300"	"0003401"
"102300"	"0008991"
"102300"	"0012452"
"102300"	"0100785"
"102350"	"0000951"
"102350"	"0000006"
"102370"	"0000343"
"102370"	"0000463"
"102370"	"0000006"
"102370"	"0004279"
"102370"	"0009803"
"102370"	"0010049"
"102370"	"0000414"
"102370"	"0000160"
"102370"	"0000179"
"102370"	"0000311"
"102370"	"0000527"
"102370"	"0001072"
"102370"	"0001609"
"102370"	"0001773"
"102370"	"0002002"
"102370"	"0002750"
"102370"	"0003026"
"102370"	"0003300"
"102370"	"0003510"
"102370"	"0005900"
"102370"	"0010579"
"102400"	"0000006"
"102400"	"0003621"
"102400"	"0009771"
"102400"	"0010177"
"102500"	"0000028"
"102500"	"0000343"
"102500"	"0000463"
"102500"	"0000494"
"102500"	"0001388"
"102500"	"0001643"
"102500"	"0000006"
"102500"	"0000347"
"102500"	"0000238"
"102500"	"0000405"
"102500"	"0000369"
"102500"	"0000470"
"102500"	"0000689"
"102500"	"0004322"
"102500"	"0000218"
"102500"	"0000286"
"102500"	"0003083"
"102500"	"0000047"
"102500"	"0000280"
"102500"	"0000527"
"102500"	"0009771"
"102500"	"0000023"
"102500"	"0000107"
"102500"	"0000293"
"102500"	"0000445"
"102500"	"0000506"
"102500"	"0000574"
"102500"	"0000664"
"102500"	"0000938"
"102500"	"0000939"
"102500"	"0001007"
"102500"	"0001508"
"102500"	"0001537"
"102500"	"0001671"
"102500"	"0001799"
"102500"	"0001842"
"102500"	"0002566"
"102500"	"0002645"
"102500"	"0002688"
"102500"	"0002751"
"102500"	"0002756"
"102500"	"0002857"
"102500"	"0002953"
"102500"	"0004586"
"102500"	"0005463"
"102500"	"0005758"
"102500"	"0006180"
"102500"	"0006480"
"102500"	"0008421"
"102500"	"0008462"
"102500"	"0009748"
"102510"	"0000765"
"102510"	"0000006"
"102510"	"0001770"
"102510"	"0011304"
"102510"	"0005048"
"102510"	"0006101"
"102510"	"0001241"
"102510"	"0002652"
"102510"	"0003468"
"102510"	"0004601"
"102510"	"0004614"
"102510"	"0009467"
"102510"	"0009611"
"102510"	"0009778"
"102520"	"0001180"
"102520"	"0012210"
"102530"	"0000007"
"102530"	"0000789"
"102530"	"0012205"
"102650"	"0000006"
"102650"	"0009778"
"102650"	"0001597"
"102650"	"0009776"
"102660"	"0000006"
"102660"	"0002664"
"102700"	"0002240"
"102700"	"0000007"
"102700"	"0002644"
"102700"	"0001508"
"102700"	"0000246"
"102700"	"0000907"
"102700"	"0000926"
"102700"	"0001442"
"102700"	"0001744"
"102700"	"0001880"
"102700"	"0001890"
"102700"	"0001967"
"102700"	"0001973"
"102700"	"0002014"
"102700"	"0002090"
"102700"	"0002099"
"102700"	"0002718"
"102700"	"0002720"
"102700"	"0002841"
"102700"	"0002850"
"102700"	"0003212"
"102700"	"0004429"
"102700"	"0004430"
"102700"	"0005359"
"102700"	"0005365"
"102700"	"0005424"
"102700"	"0008348"
"102700"	"0010976"
"102700"	"0012191"
"102700"	"0030273"
