?diseaseid	?meshid
"140600"	D007055
"140600"	D005789
"140600"	D010003
"140600"	D064235
"147530"	D000328
"147530"	D002648
"147530"	D005799
"147530"	D006801
"147530"	D010375
"147530"	D002869
"147530"	D003937
"147530"	D008854
"147530"	D025063
"147530"	D001927
"147530"	D006965
"147530"	D006987
"147530"	D010525
"147530"	D014059
"147530"	D012903
"147530"	D005334
"147530"	D013649
"147530"	D011537
"147530"	D004402
"147530"	D009186
"147530"	D009413
"147530"	D010146
"147530"	D013064
"147530"	D000699
"147530"	D003680
"147530"	D002056
"147530"	D013697
"165720"	D000293
"165720"	D000328
"165720"	D005808
"165720"	D006579
"165720"	D006801
"165720"	D008875
"165720"	D010375
"165720"	D000368
"165720"	D000369
"165720"	D000483
"165720"	D000818
"165720"	D002478
"165720"	D002784
"165720"	D002894
"165720"	D003094
"165720"	D004200
"165720"	D005190
"165720"	D005786
"165720"	D005787
"165720"	D005838
"165720"	D008040
"165720"	D008126
"165720"	D008957
"165720"	D009426
"165720"	D009679
"165720"	D010641
"165720"	D011110
"165720"	D011401
"165720"	D011446
"165720"	D012307
"165720"	D012737
"165720"	D014430
"165720"	D014644
"165720"	D015331
"165720"	D015810
"165720"	D015994
"165720"	D016022
"165720"	D016326
"165720"	D018895
"165720"	D020022
"165720"	D020641
"165720"	D044465
"165720"	D051379
"165720"	D002874
"165720"	D005826
"165720"	D009154
"165720"	D006225
"165720"	D015398
"165720"	D015992
"165720"	D000595
"165720"	D004777
"165720"	D005091
"165720"	D005796
"165720"	D005810
"165720"	D005819
"165720"	D005820
"165720"	D005828
"165720"	D006239
"165720"	D006720
"165720"	D007564
"165720"	D008969
"165720"	D014158
"165720"	D014407
"165720"	D016017
"165720"	D019143
"165720"	D020080
"165720"	D044466
"165720"	D046911
"165720"	D001120
"165720"	D001846
"165720"	D002356
"165720"	D005804
"165720"	D007717
"165720"	D008822
"165720"	D011347
"165720"	D012150
"165720"	D012720
"165720"	D012727
"165720"	D014429
"165720"	D015870
"165720"	D015995
"165720"	D017422
"165720"	D019902
"165720"	D020125
"165720"	D020219
"165720"	D030342
"165720"	D004739
"165720"	D011859
"165720"	D017386
"165720"	D010012
"165720"	D002889
"165720"	D002893
"165720"	D008817
"165720"	D005384
"165720"	D002352
"165720"	D002880
"165720"	D011506
"165720"	D020411
"165720"	D002896
"165720"	D008840
"165720"	D018507
"165720"	D006115
"165720"	D002882
"165720"	D002885
"165720"	D015894
"165720"	D015534
"165720"	D005853
"165720"	D016678
"165720"	D017677
"165720"	D016013
"165720"	D043562
"165720"	D014409
"165720"	D015999
"165720"	D007375
"165720"	D018433
"165720"	D053590
"165720"	D006615
"165720"	D051722
"165720"	D001175
"165720"	D007719
"165720"	D047628
"165720"	D047629
"165720"	D053823
"165720"	D008961
"165720"	D050659
"165720"	D012795
"165720"	D006621
"165720"	D051792
"165720"	D011960
"165720"	D011944
"165720"	D010003
"165720"	D013583
"165720"	D002813
"165720"	D064235
"165720"	D017472
"165720"	D022981
"165720"	D002147
"165720"	D051157
"165720"	D013879
"165720"	D024121
"165720"	D015142
"165720"	D015207
"165720"	D019643
"165720"	D019644
"165720"	D020370
"165720"	D020743
"165720"	D044183
"165720"	D049368
"208230"	D000293
"208230"	D000328
"208230"	D001827
"208230"	D002648
"208230"	D002675
"208230"	D004392
"208230"	D005808
"208230"	D006801
"208230"	D008875
"208230"	D010375
"208230"	D013577
"208230"	D000367
"208230"	D000368
"208230"	D001483
"208230"	D003094
"208230"	D005838
"208230"	D008040
"208230"	D010641
"208230"	D017931
"208230"	D001842
"208230"	D002874
"208230"	D003241
"208230"	D003937
"208230"	D009132
"208230"	D009154
"208230"	D013131
"208230"	D006225
"208230"	D012886
"208230"	D001706
"208230"	D005819
"208230"	D006239
"208230"	D006720
"208230"	D008969
"208230"	D001848
"208230"	D002356
"208230"	D004838
"208230"	D010009
"208230"	D010388
"208230"	D011518
"208230"	D013122
"208230"	D005384
"208230"	D003240
"208230"	D006133
"208230"	D015513
"208230"	D047908
"208230"	D001168
"208230"	D002896
"208230"	D012540
"208230"	D007592
"208230"	D036341
"208230"	D001172
"208230"	D009085
"208230"	D000844
"208230"	D001175
"208230"	D007719
"208230"	D001171
"208230"	D001176
"208230"	D002357
"208230"	D008877
"208230"	D002358
"208230"	D013583
"208230"	D005270
"208230"	D017874
"208230"	D055513
"208230"	D055511
"208230"	D055514
"607459"	D000293
"607459"	D000328
"607459"	D002648
"607459"	D005808
"607459"	D006579
"607459"	D006801
"607459"	D008875
"607459"	D010375
"607459"	D013577
"607459"	D000368
"607459"	D001483
"607459"	D005387
"607459"	D005787
"607459"	D010641
"607459"	D017931
"607459"	D020022
"607459"	D002869
"607459"	D008854
"607459"	D009132
"607459"	D009154
"607459"	D025063
"607459"	D001921
"607459"	D004252
"607459"	D004827
"607459"	D003001
"607459"	D005091
"607459"	D005819
"607459"	D005820
"607459"	D006239
"607459"	D008969
"607459"	D017354
"607459"	D019143
"607459"	D001120
"607459"	D001933
"607459"	D012150
"607459"	D017422
"607459"	D019943
"607459"	D020125
"607459"	D002493
"607459"	D002531
"607459"	D006319
"607459"	D008279
"607459"	D010523
"607459"	D018450
"607459"	D014364
"607459"	D055815
"607459"	D004272
"607459"	D018482
"607459"	D003072
"607459"	D020739
"607459"	D019964
"607459"	D019636
"607459"	D009477
"607459"	D009413
"607459"	D009886
"607459"	D013132
"607459"	D015417
"607459"	D001259
"607459"	D004259
"607459"	D008881
"607459"	D020271
"607459"	D004401
"607459"	D013385
"607459"	D003576
"607459"	D013788
"607459"	D020234
"607459"	D028361
"607459"	D017240
"607459"	D017246
"607459"	D013786
"607850"	D000328
"607850"	D006801
"607850"	D008875
"607850"	D000368
"607850"	D000369
"607850"	D004198
"607850"	D005787
"607850"	D005838
"607850"	D011110
"607850"	D016326
"607850"	D020022
"607850"	D002874
"607850"	D002681
"607850"	D008969
"607850"	D044466
"607850"	D006023
"607850"	D011509
"607850"	D020219
"607850"	D037181
"607850"	D053674
"607850"	D002352
"607850"	D018598
"607850"	D001224
"607850"	D016212
"607850"	D010003
"607850"	D015207
"607850"	D020370
"601367"	D000293
"601367"	D000328
"601367"	D006801
"601367"	D008875
"601367"	D000368
"601367"	D000369
"601367"	D000483
"601367"	D000818
"601367"	D001011
"601367"	D001158
"601367"	D001483
"601367"	D002469
"601367"	D004195
"601367"	D004198
"601367"	D004200
"601367"	D005434
"601367"	D005786
"601367"	D005787
"601367"	D005838
"601367"	D007150
"601367"	D008040
"601367"	D008957
"601367"	D009679
"601367"	D010641
"601367"	D011110
"601367"	D011446
"601367"	D012306
"601367"	D012307
"601367"	D012333
"601367"	D012907
"601367"	D013927
"601367"	D013997
"601367"	D014430
"601367"	D014644
"601367"	D015331
"601367"	D015810
"601367"	D015994
"601367"	D016019
"601367"	D016022
"601367"	D017395
"601367"	D018895
"601367"	D020022
"601367"	D020641
"601367"	D044383
"601367"	D044465
"601367"	D051379
"601367"	D002874
"601367"	D005500
"601367"	D005826
"601367"	D011379
"601367"	D012042
"601367"	D018345
"601367"	D001808
"601367"	D001921
"601367"	D001927
"601367"	D015398
"601367"	D011485
"601367"	D015992
"601367"	D001741
"601367"	D001794
"601367"	D002339
"601367"	D002851
"601367"	D002881
"601367"	D003327
"601367"	D004789
"601367"	D005091
"601367"	D005819
"601367"	D006239
"601367"	D007564
"601367"	D008800
"601367"	D009203
"601367"	D010446
"601367"	D012039
"601367"	D012044
"601367"	D014158
"601367"	D016017
"601367"	D017208
"601367"	D018698
"601367"	D044466
"601367"	D051381
"601367"	D053208
"601367"	D002318
"601367"	D003430
"601367"	D007438
"601367"	D009483
"601367"	D011795
"601367"	D014429
"601367"	D015870
"601367"	D015995
"601367"	D016615
"601367"	D008565
"601367"	D015854
"601367"	D002895
"601367"	D002118
"601367"	D002352
"601367"	D003971
"601367"	D008499
"601367"	D015105
"601367"	D054703
"601367"	D009419
"601367"	D009474
"601367"	D011237
"601367"	D015897
"601367"	D002882
"601367"	D000255
"601367"	D009000
"601367"	D014176
"601367"	D001224
"601367"	D003433
"601367"	D005189
"601367"	D011336
"601367"	D002544
