geneid1,geneid2
5580,6876
10481,4211
6156,7284
4208,429
51702,6908
116844,2335
5411,60625
476,5578
3706,84812
1487,4842
1137,1460
23281,79165
2033,26168
11043,11170
1339,1537
2885,4841
10514,1748
4155,8576
2931,5583
1107,6613
124637,1337
3065,4105
51386,811
10526,27161
3172,9326
91694,9246
56893,5799
11335,26013
10579,1387
10513,151647
5170,5979
112609,4157
10436,10657
7001,7001
23770,9577
3911,4653
51639,6187
22926,6722
56159,8204
50628,79139
5430,5595
10480,4691
137209,386677
6152,7555
285679,388677
10771,7188
127281,8600
3713,5451
3643,55816
5050,7088
331,7336
4214,8361
30000,4830
6446,9351
2057,7409
3781,5566
409,6175
25851,80781
24144,3178
3187,55696
4605,8458
22882,3416
197,207
3190,9785
50628,6626
4809,51645
6382,6383
5356,57819
701,983
6130,9349
57703,8449
11224,51639
5670,6667
10146,11124
54960,6634
55791,998
3066,55662
29946,51778
10642,10969
203068,6223
27300,81565
1501,2534
3688,975
5833,81794
2811,3690
54769,805
4869,5250
55588,9441
11267,55697
10291,23517
114294,65003
10847,8295
64969,65080
6129,7307
4609,5604
6714,8600
5430,5437
10969,8886
10946,1659
1977,7189
3837,4267
3106,801
55299,6141
4686,55696
3551,4792
5708,6165
3309,3875
10919,639
408,6218
10524,351
25885,6154
9466,9527
2770,9294
11198,86
1285,22918
132789,80201
3069,6654
10969,4343
10152,3884
4313,7077
1938,3609
10643,6631
23309,3308
23099,408
2885,57326
3575,64109
6168,6194
6206,9045
10755,9688
1019,9869
27258,9817
4087,56288
6640,8525
79869,8440
8607,92736
26292,478
23429,54880
10992,51116
387,50649
25813,4208
149371,3866
10587,9611
5738,967
4701,4712
27089,4701
10488,79901
4678,8361
10454,2289
7416,9641
1163,7322
84311,92259
29888,4163
11103,11331
57111,57111
60488,64963
23582,339345
3192,84292
11060,7536
2316,6196
10592,5885
4714,54539
472,6009
3608,7150
56893,7432
7321,9666
51236,55937
116540,64960
4914,5777
64777,7323
1059,25962
5337,998
6134,6235
1642,64946
54971,57573
51808,8569
6223,8344
5111,6165
6144,84844
2192,3339
6902,7189
3732,81839
10488,345757
57665,5959
79444,9533
2110,4535
23076,54984
10600,8924
2670,4782
322,6310
22837,79682
4179,7106
3693,7709
3888,7532
5519,5526
57521,983
56949,8220
340419,79666
3608,6161
672,898
5335,6934
6125,6230
4149,9092
27185,57562
548596,548596
1741,491
1660,6173
3320,4141
4215,84790
2770,8490
126,231
23191,7532
10971,79084
672,8338
3309,7132
11156,55898
5604,5604
55299,6124
1080,7082
4088,60
6747,7916
23089,57473
51421,7067
5686,5700
166,6496
10000,4846
5376,5824
1387,8092
6132,6208
185,554
4223,5733
2017,22941
6427,8896
3106,6629
23464,64064
2885,29766
409,4869
29894,51692
3106,9861
10514,6206
3839,5971
26986,3550
2744,4105
2690,2885
51263,51318
10602,7372
22983,642
10643,25949
388698,6141
5243,5582
9785,9879
1915,7414
2647,5089
320,6812
27043,9513
3811,466
23164,2885
8351,8367
23368,5499
10399,302
116443,2904
4711,4731
10399,2562
4173,8453
1915,7178
4354,7083
51362,5356
25873,8575
10533,1936
10741,5933
79447,9070
1478,51692
6156,6167
257202,6647
24144,2786
5335,64714
10397,2194
358,5578
6636,79706
23636,23636
29969,6898
51631,8503
128710,23192
27339,9879
23521,6210
23107,65993
22895,9378
51196,9651
2057,5788
22806,56915
55596,8220
10567,7253
51808,55968
30968,6135
2332,5562
23007,5336
58533,6642
22955,8834
3551,6737
10526,6728
151254,2801
26088,7251
26019,27257
90933,90933
25,344148
5133,6895
23451,27043
26986,6184
4904,6175
23283,9146
51021,6128
56144,60492
139728,2033
140885,3866
57532,7532
1748,26608
285093,81704
55722,9729
6688,9636
23583,9319
4087,4644
7083,9013
11186,6788
11224,6170
23645,57473
5879,752
23095,29956
2740,386676
4700,4728
10856,6152
7532,9253
3623,6477
374907,6487
472,545
6431,9295
1075,8530
4281,7321
5422,5984
51073,54948
3040,51327
1642,54461
10594,23013
2120,57154
60485,83937
6146,8664
8470,8751
153090,7157
4851,4856
25959,80321
2873,8452
2099,2100
10939,373509
3978,5427
2885,29934
1857,84708
3054,7709
6623,701
64320,85409
7329,9666
23385,23621
653361,84958
386680,399947
2010,80321
10569,6431
5518,5906
10236,6426
6139,6165
7541,83851
5707,9861
10403,29079
1278,29979
9330,9391
54994,84464
27258,4116
2534,613
28973,9801
3654,80124
362,3881
5291,79803
55957,56159
57703,6431
23326,552889
4052,4052
11338,6636
9240,9738
10992,9343
1051,3159
57129,9801
4609,5426
4215,9361
10054,7189
6135,6201
10879,29979
6136,728937
4851,51176
127002,23326
1616,6137
57154,9618
6160,7284
56850,904
5978,6853
10972,5663
2081,6233
8350,8370
2879,30
2932,8312
1797,22803
1660,2058
116541,55168
2669,84342
10262,56949
10465,26121
10248,138716
10661,6599
1387,4928
121504,6741
10713,23450
80349,9646
3909,4356
3006,4678
1207,6224
6158,6230
11140,84171
1001,4868
311,55165
1147,1917
7158,8360
11100,6732
2268,493
57459,6598
6598,6756
220,4329
3866,3892
3014,6741
1375,2194
57154,80349
11016,51347
5595,6721
3880,85359
6612,8452
2618,382
388818,388818
11338,9410
23649,8480
25793,5930
51295,5886
6134,6204
2802,7186
472,9810
170506,50628
10933,222389
29105,79228
1912,23492
2252,3339
1488,342371
5521,56256
355,8996
2151,83700
117178,331
25942,4601
6206,6207
3163,9869
2769,2914
11135,79109
27185,6709
2171,8428
2130,54475
4624,56950
10492,8428
10001,6837
23281,55209
22981,23270
111,5137
1646,1646
1000,2264
1622,2932
23020,23524
23126,54971
25862,7922
2975,6139
10084,55791
4188,57188
5250,64960
4791,92609
10944,9627
56288,7529
408050,5394
10379,27287
6714,8241
