drugid	umls_cui_from_meddra
DB08567	C0020453
DB08567	C0020443
DB08567	C0020456
DB08567	C0020458
DB08567	C0424295
DB08567	C0020507
DB08567	C0020514
DB08567	C0020517
DB08567	C0020538
DB08567	C0235750
DB08567	C0026826
DB08567	C0020555
DB08567	C0020564
DB08567	C0020578
DB08567	C0020580
DB08567	C0020615
DB08567	C0271710
DB08567	C0086439
DB08567	C0020625
DB08567	C0151888
DB08567	C0020649
DB08567	C0020676
DB08567	C0026827
DB08567	C0221333
DB08567	C3203358
DB08567	C0242184
DB08567	C0020701
DB08567	C2047937
DB08567	C0020903
DB08567	C0021053
DB08567	C0021141
DB08567	C0232461
DB08567	C0494559
DB08567	C0917801
DB08567	C0853089
DB08567	C0022346
DB08567	C0553668
DB08567	C0022890
DB08567	C0022904
DB08567	C0235901
DB08567	C0023067
DB08567	C0023066
DB08567	C0023530
DB08567	C0023533
DB08567	C0011124
DB08567	C0021177
DB08567	C0587246
DB08567	C2129214
DB08567	C0041657
DB08567	C0919715
DB08567	C0497156
DB08567	C0024299
DB08567	C0231218
DB08567	C1112443
DB08567	C0162429
DB08567	C0338831
DB08567	C0151772
DB08567	C0024894
DB08567	C0235667
DB08567	C0025061
DB08567	C0025222
DB08567	C0236075
DB08567	C0025323
DB08567	C0025345
DB08567	C0156404
DB08567	C1306341
DB08567	C0004936
DB08567	C0025874
DB08567	C0042035
DB08567	C0149931
DB08567	C0270795
DB08567	C0085633
DB08567	C0149745
DB08567	C0026650
DB08567	C0016655
DB08567	C0235086
DB08567	C1142135
DB08567	C0026837
DB08567	C0037763
DB08567	C0231530
DB08567	C0151786
DB08567	C0948594
DB08567	C0231528
DB08567	C0026961
DB08567	C0027051
DB08567	C0027066
DB08567	C0027497
DB08567	C0151626
DB08567	C0027540
DB08567	C0027651
DB08567	C0006826
DB08567	C0027765
DB08567	C0027769
DB08567	C0027813
DB08567	C0027849
DB08567	C0031117
DB08567	C0027932
DB08567	C0028084
DB08567	C0028734
DB08567	C0024305
DB08567	C0028738
DB08567	C0009595
DB08567	C0085637
DB08567	C0013604
DB08567	C0085649
DB08567	C0014868
DB08567	C0028961
DB08567	C0029134
DB08567	C0020651
DB08567	C0029408
DB08567	C0029882
DB08567	C0030193
DB08567	C0030232
DB08567	C0030252
DB08567	C0030305
DB08567	C0030312
DB08567	C0030554
DB08567	C1456784
DB08567	C0151836
DB08567	C0030920
DB08567	C0151205
DB08567	C0235490
DB08567	C0019065
DB08567	C0031350
DB08567	C0151849
DB08567	C0085636
DB08567	C0349506
DB08567	C0162830
DB08567	C0042023
DB08567	C0032617
DB08567	C0232286
DB08567	C0032961
DB08567	C0033038
DB08567	C0033117
DB08567	C0034886
DB08567	C0033246
DB08567	C0033774
DB08567	C0033975
DB08567	C0020542
DB08567	C0034150
DB08567	C0034186
DB08567	C0015230
DB08567	C0234913
DB08567	C0234916
DB08567	C0423791
DB08567	C0085641
DB08567	C0232726
DB08567	C0022660
DB08567	C0558489
DB08567	C1145670
DB08567	C0231837
DB08567	C0035243
DB08567	C0151826
DB08567	C3544214
DB08567	C0035455
DB08567	C0424790
DB08567	C0037036
DB08567	C0036104
DB08567	C0036454
DB08567	C0085271
DB08567	C0522178
DB08567	C0699828
DB08567	C0036830
DB08567	C0549622
DB08567	C0036974
DB08567	C0037199
DB08567	C0235848
DB08567	C0151907
DB08567	C0037274
DB08567	C0234930
DB08567	C0577115
DB08567	C0037672
DB08567	C2830004
DB08567	C0037822
DB08567	C0038273
DB08567	C0038325
DB08567	C0392162
