"drugid"	"geneid"
"DB01268"	"3815"
"DB01268"	"5979"
"DB01268"	"5156"
"DB01268"	"3791"
"DB01268"	"5159"
"DB01268"	"2322"
"DB01277"	"3480"
"DB01285"	"4157"
"DB01285"	"4161"
"DB01285"	"4158"
"DB01551"	"4988"
"DB00670"	"1128"
"DB01084"	"3269"
"DB00910"	"7421"
"DB00354"	"3269"
"DB00006"	"2147"
"DB00266"	"79001"
"DB00396"	"5241"
"DB00945"	"5743"
"DB01254"	"3815"
"DB01254"	"6714"
"DB01254"	"1969"
"DB01254"	"5159"
"DB01254"	"25"
"DB00067"	"554"
"DB00067"	"552"
"DB00067"	"553"
"DB00097"	"3973"
"DB00099"	"1441"
"DB00106"	"2798"
"DB00227"	"3156"
"DB00252"	"6326"
"DB00252"	"6329"
"DB00252"	"6334"
"DB00252"	"6335"
"DB00252"	"6328"
"DB00252"	"6323"
"DB00252"	"6331"
"DB00322"	"7298"
"DB00641"	"3156"
"DB00648"	"1586"
"DB00673"	"6869"
"DB00905"	"5737"
"DB00917"	"5732"
"DB00929"	"5732"
"DB00989"	"590"
"DB00989"	"43"
"DB01095"	"3156"
"DB01241"	"5465"
"DB00636"	"5465"
"DB00655"	"2100"
"DB01260"	"2908"
"DB01283"	"5743"
"DB00153"	"7421"
"DB01086"	"6326"
"DB01086"	"6329"
"DB01086"	"6336"
"DB01086"	"6323"
"DB01086"	"6331"
"DB01105"	"6530"
"DB01105"	"6531"
"DB01105"	"6532"
"DB01237"	"3269"
"DB00180"	"2908"
"DB00255"	"2100"
"DB00255"	"2099"
"DB00273"	"6326"
"DB00273"	"6329"
"DB00273"	"6334"
"DB00273"	"6335"
"DB00273"	"6328"
"DB00273"	"6323"
"DB00313"	"18"
"DB00405"	"3269"
"DB00470"	"1269"
"DB00640"	"134"
"DB00907"	"6329"
"DB00907"	"6530"
"DB00907"	"6335"
"DB00907"	"6328"
"DB00907"	"6336"
"DB00907"	"6531"
"DB00907"	"3757"
"DB00907"	"6532"
"DB00907"	"6323"
"DB00907"	"6331"
"DB00909"	"6326"
"DB00909"	"6334"
"DB00909"	"6335"
"DB00909"	"6323"
"DB00909"	"6331"
"DB01618"	"1813"
"DB01620"	"3269"
"DB00579"	"6530"
"DB00579"	"6531"
"DB00579"	"6532"
"DB00589"	"1813"
"DB00589"	"3350"
"DB00800"	"1812"
"DB00825"	"8989"
"DB00825"	"79054"
"DB01186"	"1812"
"DB01186"	"1813"
"DB01744"	"8989"
"DB00104"	"6751"
"DB00104"	"6754"
"DB00104"	"6755"
"DB00107"	"5021"
"DB00177"	"185"
"DB00178"	"1636"
"DB00190"	"1644"
"DB00280"	"6326"
"DB00280"	"6329"
"DB00280"	"6334"
"DB00280"	"6328"
"DB00280"	"6323"
"DB00281"	"6326"
"DB00281"	"6334"
"DB00281"	"6328"
"DB00281"	"6336"
"DB00281"	"6323"
"DB00285"	"6530"
"DB00285"	"6532"
"DB00366"	"3269"
"DB00412"	"5468"
"DB00427"	"3269"
"DB00455"	"3269"
"DB00477"	"3269"
"DB00482"	"5743"
"DB00605"	"5743"
"DB00605"	"5742"
"DB00620"	"2908"
"DB00624"	"367"
"DB00710"	"2224"
"DB00717"	"5241"
"DB00726"	"6530"
"DB00726"	"6532"
"DB00734"	"1813"
"DB00734"	"3356"
"DB00741"	"2908"
"DB00788"	"5743"
"DB00788"	"5742"
"DB00876"	"185"
"DB00880"	"6559"
"DB00881"	"1636"
"DB00887"	"6557"
"DB00887"	"6558"
"DB00903"	"6557"
"DB00903"	"6558"
"DB00912"	"6833"
"DB00927"	"3274"
"DB00956"	"4988"
"DB00959"	"2908"
"DB00960"	"155"
"DB00960"	"154"
"DB00967"	"3269"
"DB00968"	"1644"
"DB00975"	"8654"
"DB00977"	"2100"
"DB00977"	"2099"
"DB00985"	"3269"
"DB00986"	"1131"
"DB00991"	"5743"
"DB00991"	"5742"
"DB01088"	"5739"
"DB01100"	"1813"
"DB01100"	"1814"
"DB01118"	"3752"
"DB01118"	"153"
"DB01118"	"3757"
"DB01118"	"3760"
"DB01118"	"3767"
"DB01118"	"3762"
"DB01118"	"3784"
"DB01118"	"3764"
"DB01118"	"5243"
"DB01118"	"3768"
"DB01136"	"153"
"DB01136"	"154"
"DB01185"	"367"
"DB01192"	"4988"
"DB01195"	"6326"
"DB01195"	"6329"
"DB01195"	"3752"
"DB01195"	"6334"
"DB01195"	"81033"
"DB01195"	"6335"
"DB01195"	"6328"
"DB01195"	"3757"
"DB01195"	"6323"
"DB01195"	"6331"
"DB01195"	"90134"
"DB01197"	"1636"
"DB01203"	"155"
"DB01203"	"153"
"DB01222"	"2908"
"DB01223"	"134"
"DB01223"	"135"
"DB01224"	"3269"
"DB01224"	"1813"
"DB01224"	"1814"
"DB01224"	"3356"
"DB01224"	"1815"
"DB01224"	"3362"
"DB01234"	"2908"
"DB01235"	"1812"
"DB01235"	"1813"
"DB01235"	"1814"
"DB01259"	"1956"
"DB01259"	"2064"
"DB01276"	"2740"
"DB01285"	"4159"
"DB01285"	"4160"
"DB00963"	"5743"
"DB00585"	"3274"
"DB00637"	"3269"
"DB00981"	"43"
"DB01126"	"6715"
"DB01126"	"6716"
"DB00751"	"3269"
"DB01619"	"3269"
"DB00026"	"7850"
"DB00026"	"3554"
"DB00065"	"7124"
"DB00682"	"79001"
"DB00682"	"1728"
"DB00946"	"79001"
"DB00060"	"3454"
"DB00060"	"3455"
"DB00074"	"3559"
"DB00111"	"3559"
"DB00112"	"7422"
"DB00441"	"6240"
"DB01076"	"3156"
"DB00234"	"6530"
"DB00383"	"1131"
"DB00501"	"3274"
"DB00008"	"3454"
"DB00008"	"3455"
"DB00014"	"2798"
"DB00016"	"2057"
"DB00017"	"799"
"DB00019"	"1441"
"DB00022"	"3454"
"DB00022"	"3455"
"DB00035"	"2157"
"DB00035"	"554"
"DB00035"	"552"
"DB00035"	"553"
"DB00040"	"2642"
"DB00046"	"3643"
"DB00047"	"3643"
"DB00051"	"7124"
"DB00052"	"2690"
"DB00069"	"3454"
"DB00069"	"3455"
"DB00082"	"2690"
"DB00188"	"5689"
"DB00188"	"5693"
"DB00208"	"64805"
"DB00321"	"6530"
"DB00321"	"6532"
"DB00351"	"5241"
"DB00443"	"2908"
"DB00458"	"6530"
"DB00458"	"6532"
"DB00496"	"1131"
"DB00519"	"1636"
"DB00524"	"6559"
"DB00540"	"6530"
"DB00540"	"6532"
"DB00547"	"2908"
"DB00596"	"2908"
"DB00642"	"2618"
"DB00642"	"7298"
"DB00687"	"2908"
"DB00758"	"64805"
"DB00764"	"2908"
"DB00838"	"2908"
"DB00860"	"2908"
"DB01013"	"2908"
"DB01036"	"1131"
"DB01037"	"4129"
"DB01130"	"2908"
"DB01149"	"3356"
"DB01149"	"3358"
"DB01261"	"1803"
"DB01367"	"4129"
"DB01577"	"6530"
"DB01577"	"6531"
"DB01577"	"6532"
"DB01591"	"1131"
"DB00131"	"134"
"DB00131"	"140"
"DB00136"	"7421"
"DB00182"	"6530"
"DB00182"	"6531"
"DB00182"	"6532"
"DB01255"	"6530"
"DB01255"	"6531"
"DB01079"	"3360"
"DB00863"	"3274"
"DB00348"	"3242"
"DB00569"	"2159"
"DB00368"	"154"
"DB00368"	"155"
"DB00368"	"153"
"DB00559"	"1910"
"DB00559"	"1909"
"DB00665"	"367"
"DB00750"	"8911"
"DB00843"	"43"
"DB00872"	"554"
"DB00872"	"552"
"DB00988"	"1812"
"DB00988"	"1813"
"DB00988"	"1814"
"DB00988"	"1816"
"DB00988"	"1815"
"DB01005"	"6241"
"DB01244"	"3752"
"DB01244"	"3757"
"DB01244"	"3760"
"DB01244"	"3741"
"DB01244"	"3767"
"DB01244"	"3762"
"DB01244"	"3784"
"DB01244"	"3764"
"DB01244"	"3768"
"DB01364"	"155"
"DB01393"	"5465"
"DB01597"	"1800"
"DB00550"	"1733"
"DB00550"	"1734"
"DB00776"	"6326"
"DB00776"	"6335"
"DB00776"	"6323"
"DB00776"	"6331"
"DB02300"	"7421"
"DB00733"	"43"
"DB01122"	"43"
"DB00216"	"3351"
"DB00216"	"3352"
"DB00320"	"1813"
"DB00320"	"3350"
"DB00382"	"43"
"DB00448"	"495"
"DB00449"	"155"
"DB00449"	"153"
"DB00449"	"154"
"DB00490"	"3350"
"DB00669"	"3352"
"DB00669"	"3351"
"DB00696"	"1813"
"DB00696"	"3350"
"DB00765"	"7054"
"DB00774"	"6559"
"DB00841"	"153"
"DB00852"	"155"
"DB00852"	"153"
"DB00852"	"154"
"DB00867"	"154"
"DB00952"	"3355"
"DB00952"	"3354"
"DB00952"	"3350"
"DB00952"	"3351"
"DB00952"	"3352"
"DB01006"	"1588"
"DB01064"	"155"
"DB01064"	"153"
"DB01064"	"154"
"DB06144"	"1813"
"DB00357"	"1588"
"DB00010"	"2692"
"DB00176"	"6532"
"DB00187"	"153"
"DB00195"	"153"
"DB00201"	"134"
"DB00204"	"3757"
"DB00214"	"6558"
"DB00215"	"6532"
"DB00363"	"1813"
"DB00363"	"3350"
"DB00363"	"1815"
"DB00367"	"5241"
"DB00373"	"153"
"DB00373"	"154"
"DB00373"	"155"
"DB00436"	"6559"
"DB00450"	"1813"
"DB00489"	"153"
"DB00489"	"154"
"DB00489"	"3757"
"DB00492"	"1636"
"DB00494"	"1312"
"DB00521"	"153"
"DB00521"	"155"
"DB00521"	"154"
"DB00543"	"6530"
"DB00555"	"6329"
"DB00555"	"6335"
"DB00564"	"6326"
"DB00564"	"6334"
"DB00571"	"154"
"DB00598"	"153"
"DB00656"	"3356"
"DB00656"	"6532"
"DB00661"	"3743"
"DB00661"	"3738"
"DB00661"	"3763"
"DB00661"	"3744"
"DB00661"	"3747"
"DB00668"	"155"
"DB00668"	"153"
"DB00668"	"154"
"DB00674"	"43"
"DB00675"	"2100"
"DB00675"	"2099"
"DB00695"	"6557"
"DB00695"	"6558"
"DB00784"	"5742"
"DB00835"	"3269"
"DB00861"	"5743"
"DB00871"	"154"
"DB00983"	"154"
"DB01001"	"154"
"DB01009"	"5743"
"DB01009"	"5742"
"DB01021"	"6559"
"DB01067"	"6833"
"DB01132"	"5468"
"DB01175"	"6532"
"DB01182"	"6326"
"DB01182"	"6329"
"DB01182"	"6334"
"DB01182"	"6335"
"DB01182"	"153"
"DB01182"	"6328"
"DB01182"	"6323"
"DB01182"	"6331"
"DB01210"	"155"
"DB01210"	"153"
"DB01210"	"154"
"DB01274"	"154"
"DB01357"	"2099"
"DB01380"	"2908"
"DB01399"	"5742"
"DB01070"	"7421"
"DB00527"	"6326"
"DB00527"	"6329"
"DB00527"	"6334"
"DB00527"	"6335"
"DB00527"	"6328"
"DB00527"	"6336"
"DB00527"	"6323"
"DB00527"	"6331"
"DB00663"	"2908"
"DB00680"	"6326"
"DB00680"	"6329"
"DB00680"	"6334"
"DB00680"	"6335"
"DB00680"	"6328"
"DB00680"	"6323"
"DB00680"	"6331"
"DB00873"	"2908"
"DB01056"	"6326"
"DB01056"	"6329"
"DB01056"	"6334"
"DB01056"	"6335"
"DB01056"	"6328"
"DB01056"	"6323"
"DB01056"	"6331"
"DB00203"	"8654"
"DB00221"	"154"
"DB00770"	"5731"
"DB01010"	"43"
"DB01057"	"43"
"DB00353"	"1813"
"DB00532"	"6329"
"DB00532"	"6334"
"DB00532"	"6335"
"DB01436"	"7421"
"DB00419"	"7357"
"DB00533"	"5743"
"DB00568"	"3269"
"DB01410"	"2908"
"DB01420"	"367"
"DB01429"	"6326"
"DB01429"	"6329"
"DB01429"	"6334"
"DB01429"	"6335"
"DB01429"	"6328"
"DB01429"	"3757"
"DB01429"	"6323"
"DB01429"	"6331"
"DB04890"	"3269"
"DB06155"	"1268"
"DB00056"	"945"
"DB00092"	"965"
"DB00544"	"7298"
"DB00552"	"100"
"DB01039"	"5465"
"DB01083"	"1056"
"DB01364"	"153"
"DB01364"	"154"
"DB00550"	"7173"
"DB00744"	"240"
"DB00763"	"7173"
"DB01065"	"4544"
"DB01065"	"4543"
"DB00776"	"6329"
"DB00776"	"6334"
"DB00776"	"6328"
"DB00437"	"7498"
"DB00448"	"496"
"DB00530"	"1956"
"DB00918"	"3351"
"DB00918"	"3352"
"DB00998"	"3351"
"DB00998"	"3352"
"DB01080"	"18"
"DB01253"	"1813"
"DB01291"	"154"
"DB01501"	"4988"
"DB06144"	"3356"
"DB00580"	"5743"
"DB00214"	"6557"
"DB00363"	"3363"
"DB00363"	"3356"
"DB00363"	"3358"
"DB00414"	"6833"
"DB00421"	"4306"
"DB00499"	"367"
"DB00543"	"6532"
"DB00555"	"6326"
"DB00555"	"6334"
"DB00555"	"6328"
"DB00555"	"6323"
"DB00555"	"6331"
"DB00564"	"6329"
"DB00564"	"6335"
"DB00564"	"6328"
"DB00564"	"6323"
"DB00564"	"6331"
"DB00571"	"155"
"DB00571"	"153"
"DB00598"	"155"
"DB00598"	"154"
"DB00672"	"6833"
"DB00678"	"185"
"DB00749"	"5743"
"DB00784"	"5743"
"DB00834"	"5241"
"DB00839"	"6833"
"DB00846"	"2908"
"DB00861"	"5742"
"DB00980"	"4544"
"DB00980"	"4543"
"DB00999"	"6559"
"DB01026"	"1586"
"DB01029"	"185"
"DB01047"	"2908"
"DB01357"	"2100"
"DB01359"	"155"
"DB01359"	"153"
"DB01359"	"154"
"DB01399"	"5743"
"DB01403"	"1813"
"DB04844"	"6571"
"DB04896"	"6530"
"DB04896"	"6532"
"DB01576"	"6530"
"DB01576"	"6531"
"DB01576"	"6532"
"DB00342"	"3269"
"DB00342"	"3757"
"DB00545"	"43"
"DB00549"	"10800"
"DB01400"	"43"
"DB01411"	"57105"
"DB01411"	"10800"
"DB00532"	"6326"
"DB00532"	"6328"
"DB00532"	"6323"
"DB00532"	"6331"
"DB01580"	"155"
"DB01580"	"153"
"DB01580"	"154"
"DB04948"	"151"
"DB01258"	"5972"
"DB00297"	"6326"
"DB00297"	"6329"
"DB00297"	"6334"
"DB00297"	"6335"
"DB00297"	"6328"
"DB00297"	"6336"
"DB00297"	"6323"
"DB00297"	"6331"
"DB00762"	"7150"
"DB01030"	"7150"
"DB00286"	"2100"
"DB00286"	"2099"
"DB00645"	"6326"
"DB00645"	"6329"
"DB00645"	"6334"
"DB00645"	"6335"
"DB00645"	"6328"
"DB00645"	"6336"
"DB00645"	"6323"
"DB00645"	"6331"
"DB01228"	"6326"
"DB01228"	"6329"
"DB01228"	"6334"
"DB01228"	"6335"
"DB01228"	"6328"
"DB01228"	"6323"
"DB01228"	"6331"
"DB00278"	"2147"
"DB00296"	"6326"
"DB00296"	"6329"
"DB00296"	"6334"
"DB00296"	"6335"
"DB00296"	"6328"
"DB00296"	"6336"
"DB00296"	"6323"
"DB00296"	"6331"
"DB00379"	"6326"
"DB00379"	"6329"
"DB00379"	"6335"
"DB00379"	"6328"
"DB00379"	"6323"
"DB00379"	"6331"
"DB00379"	"6334"
"DB00539"	"2100"
"DB00539"	"2099"
"DB00908"	"6326"
"DB00908"	"6329"
"DB00908"	"6334"
"DB00908"	"6335"
"DB00908"	"6328"
"DB00908"	"6323"
"DB00908"	"6331"
"DB01035"	"6326"
"DB01035"	"6329"
"DB01035"	"6334"
"DB01035"	"6335"
"DB01035"	"6328"
"DB01035"	"6323"
"DB01035"	"6331"
"DB01320"	"6326"
"DB01320"	"6329"
"DB01320"	"6334"
"DB01320"	"6335"
"DB01320"	"6328"
"DB01320"	"6323"
"DB01320"	"6331"
"DB01002"	"6326"
"DB01002"	"6329"
"DB01002"	"6334"
"DB01002"	"6335"
"DB01002"	"6328"
"DB01002"	"6336"
"DB01002"	"6323"
"DB01002"	"6331"
"DB00481"	"2100"
"DB00481"	"2099"
"DB00721"	"6326"
"DB00721"	"6329"
"DB00721"	"8645"
"DB00721"	"6334"
"DB00721"	"6335"
"DB00721"	"6328"
"DB00721"	"6336"
"DB00721"	"6323"
"DB00721"	"6331"
"DB00002"	"1956"
"DB00007"	"2798"
"DB00072"	"2064"
"DB00078"	"931"
"DB01225"	"462"
"DB00073"	"931"
"DB00087"	"1043"
"DB00095"	"3683"
"DB00102"	"5159"
"DB00666"	"2798"
"DB00644"	"2798"
"DB01289"	"6833"
"DB01348"	"1636"
"DB00471"	"10800"
"DB00587"	"10800"
"DB00030"	"3643"
"DB00033"	"3459"
"DB00033"	"3460"
"DB00542"	"1636"
"DB00584"	"1636"
"DB00691"	"1636"
"DB00722"	"1636"
"DB00790"	"1636"
"DB00862"	"8654"
"DB01340"	"1636"
"DB00005"	"7133"
"DB00002"	"712"
"DB00005"	"712"
"DB00054"	"712"
"DB00072"	"712"
"DB00078"	"712"
"DB00108"	"712"
"DB00002"	"713"
"DB00005"	"713"
"DB00054"	"713"
"DB00072"	"713"
"DB00078"	"713"
"DB00108"	"713"
"DB00002"	"714"
"DB00005"	"714"
"DB00054"	"714"
"DB00072"	"714"
"DB00078"	"714"
"DB00108"	"714"
"DB00002"	"715"
"DB00005"	"715"
"DB00054"	"715"
"DB00072"	"715"
"DB00078"	"715"
"DB00108"	"715"
"DB00002"	"716"
"DB00005"	"716"
"DB00054"	"716"
"DB00072"	"716"
"DB00078"	"716"
"DB00002"	"9103"
"DB00005"	"9103"
"DB00054"	"9103"
"DB00072"	"9103"
"DB00078"	"9103"
"DB00108"	"9103"
"DB00072"	"1956"
"DB00002"	"2209"
"DB00005"	"2209"
"DB00054"	"2209"
"DB00072"	"2209"
"DB00078"	"2209"
"DB00108"	"2209"
"DB00002"	"2212"
"DB00005"	"2212"
"DB00054"	"2212"
"DB00072"	"2212"
"DB00078"	"2212"
"DB00108"	"2212"
"DB00002"	"2213"
"DB00005"	"2213"
"DB00054"	"2213"
"DB00072"	"2213"
"DB00078"	"2213"
"DB00108"	"2213"
"DB00002"	"2214"
"DB00005"	"2214"
"DB00054"	"2214"
"DB00072"	"2214"
"DB00078"	"2214"
"DB00108"	"2214"
"DB00002"	"2215"
"DB00005"	"2215"
"DB00054"	"2215"
"DB00072"	"2215"
"DB00078"	"2215"
"DB00108"	"2215"
"DB00004"	"3559"
"DB00004"	"3560"
"DB00004"	"3561"
"DB00054"	"7448"
"DB00108"	"3383"
"DB00054"	"3674"
"DB00054"	"3690"
"DB00266"	"1429"
"DB00945"	"6197"
"DB00945"	"7157"
"DB00945"	"4791"
"DB00945"	"4792"
"DB00163"	"23541"
"DB00163"	"266629"
"DB00163"	"284904"
"DB00396"	"1586"
"DB00163"	"1606"
"DB00266"	"1728"
"DB00945"	"1645"
"DB00163"	"240"
"DB00163"	"8856"
"DB00374"	"5467"
"DB00163"	"5515"
"DB00163"	"5516"
"DB00163"	"5578"
"DB00163"	"5579"
"DB00304"	"2099"
"DB00396"	"2099"
"DB00945"	"3551"
"DB00569"	"462"
"DB00396"	"4306"
"DB01097"	"2185"
"DB00396"	"4986"
"DB00337"	"2280"
"DB00864"	"2280"
"DB00337"	"2475"
"DB00013"	"6768"
"DB00031"	"7123"
"DB00031"	"811"
"DB00031"	"821"
"DB00009"	"2243"
"DB00015"	"2243"
"DB00031"	"2243"
"DB00945"	"3309"
"DB00031"	"302"
"DB00031"	"3856"
"DB00031"	"4035"
"DB00013"	"4036"
"DB00013"	"4811"
"DB00009"	"5054"
"DB00013"	"5054"
"DB00015"	"5054"
"DB00031"	"5054"
"DB00013"	"5055"
"DB00031"	"5055"
"DB00013"	"5104"
"DB00013"	"5327"
"DB00013"	"5328"
"DB00009"	"5329"
"DB00013"	"5329"
"DB00015"	"5329"
"DB00031"	"5329"
"DB00009"	"5340"
"DB00013"	"5340"
"DB00015"	"5340"
"DB00031"	"5340"
"DB00945"	"5562"
"DB00686"	"2246"
"DB00686"	"2249"
"DB00374"	"64805"
"DB01097"	"196"
"DB00686"	"2247"
"DB00945"	"1909"
"DB08904"	"7124"
"DB00056"	"712"
"DB00073"	"712"
"DB00074"	"712"
"DB00087"	"712"
"DB00092"	"712"
"DB00095"	"712"
"DB00110"	"712"
"DB00111"	"712"
"DB00112"	"712"
"DB00056"	"713"
"DB00073"	"713"
"DB00074"	"713"
"DB00087"	"713"
"DB00092"	"713"
"DB00095"	"713"
"DB00110"	"713"
"DB00111"	"713"
"DB00112"	"713"
"DB00056"	"714"
"DB00073"	"714"
"DB00074"	"714"
"DB00087"	"714"
"DB00092"	"714"
"DB00095"	"714"
"DB00110"	"714"
"DB00111"	"714"
"DB00112"	"714"
"DB00056"	"715"
"DB00073"	"715"
"DB00074"	"715"
"DB00087"	"715"
"DB00092"	"715"
"DB00095"	"715"
"DB00110"	"715"
"DB00111"	"715"
"DB00112"	"715"
"DB00056"	"716"
"DB00073"	"716"
"DB00074"	"716"
"DB00056"	"9103"
"DB00073"	"9103"
"DB00074"	"9103"
"DB00087"	"9103"
"DB00092"	"9103"
"DB00095"	"9103"
"DB00110"	"9103"
"DB00111"	"9103"
"DB00112"	"9103"
"DB00100"	"2147"
"DB00056"	"2209"
"DB00073"	"2209"
"DB00074"	"2209"
"DB00087"	"2209"
"DB00092"	"2209"
"DB00095"	"2209"
"DB00110"	"2209"
"DB00111"	"2209"
"DB00112"	"2209"
"DB00056"	"2212"
"DB00073"	"2212"
"DB00074"	"2212"
"DB00087"	"2212"
"DB00092"	"2212"
"DB00095"	"2212"
"DB00110"	"2212"
"DB00111"	"2212"
"DB00112"	"2212"
"DB00056"	"2213"
