"drugid"	"g"
"DB00065"	"go:0006006"
"DB00065"	"go:0006919"
"DB00065"	"go:0006927"
"DB00065"	"go:0006954"
"DB00065"	"go:0006959"
"DB00065"	"go:0007166"
"DB00065"	"go:0007249"
"DB00065"	"go:0007254"
"DB00065"	"go:0008625"
"DB00065"	"go:0008630"
"DB00065"	"go:0009615"
"DB00065"	"go:0009651"
"DB00065"	"go:0010628"
"DB00065"	"go:0010629"
"DB00065"	"go:0010693"
"DB00065"	"go:0010803"
"DB00065"	"go:0010888"
"DB00065"	"go:0030198"
"DB00065"	"go:0030316"
"DB00065"	"go:0030730"
"DB00065"	"go:0030866"
"DB00065"	"go:0031334"
"DB00065"	"go:0031622"
"DB00065"	"go:0031663"
"DB00065"	"go:0032715"
"DB00065"	"go:0032722"
"DB00065"	"go:0032729"
"DB00065"	"go:0032755"
"DB00065"	"go:0032757"
"DB00065"	"go:0032800"
"DB00065"	"go:0033138"
"DB00065"	"go:0033209"
"DB00065"	"go:0034116"
"DB00065"	"go:0035509"
"DB00065"	"go:0042346"
"DB00065"	"go:0043065"
"DB00065"	"go:0043068"
"DB00065"	"go:0043122"
"DB00065"	"go:0043123"
"DB00065"	"go:0043242"
"DB00065"	"go:0043243"
"DB00065"	"go:0043280"
"DB00065"	"go:0043406"
"DB00065"	"go:0043491"
"DB00065"	"go:0043507"
"DB00065"	"go:0044130"
"DB00065"	"go:0045071"
"DB00065"	"go:0045080"
"DB00065"	"go:0045416"
"DB00065"	"go:0045429"
"DB00065"	"go:0045599"
"DB00065"	"go:0045662"
"DB00065"	"go:0045668"
"DB00065"	"go:0045672"
"DB00065"	"go:0045785"
"DB00065"	"go:0045860"
"DB00065"	"go:0045892"
"DB00065"	"go:0045893"
"DB00065"	"go:0045944"
"DB00065"	"go:0045994"
"DB00065"	"go:0046325"
"DB00065"	"go:0048566"
"DB00065"	"go:0048661"
"DB00065"	"go:0050715"
"DB00065"	"go:0050766"
"DB00065"	"go:0050796"
"DB00065"	"go:0050830"
"DB00065"	"go:0050901"
"DB00065"	"go:0050995"
"DB00065"	"go:0051023"
"DB00065"	"go:0051044"
"DB00065"	"go:0051091"
"DB00065"	"go:0051092"
"DB00065"	"go:0051222"
"DB00065"	"go:0051384"
"DB00065"	"go:0051533"
"DB00065"	"go:0051798"
"DB00065"	"go:0051897"
"DB00065"	"go:0060557"
"DB00065"	"go:0060559"
"DB00065"	"go:0060664"
"DB00065"	"go:0060693"
"DB00065"	"go:0061048"
"DB00065"	"go:0070374"
"DB00065"	"go:0071230"
"DB00065"	"go:0071316"
"DB00065"	"go:0071407"
"DB00065"	"go:0071550"
"DB00065"	"go:0071677"
"DB00065"	"go:0071803"
"DB00065"	"go:0090002"
"DB00065"	"go:0097191"
"DB00065"	"go:0097527"
"DB00065"	"go:1901224"
"DB00065"	"go:1903140"
"DB00065"	"go:1903347"
"DB00065"	"go:2000010"
"DB00065"	"go:2000304"
"DB00065"	"go:2000343"
"DB00065"	"go:2001240"
"DB00002"	"go:0007267"
"DB00002"	"go:0048839"
"DB00002"	"go:0030853"
"DB00002"	"go:0045650"
"DB00002"	"go:0038096"
"DB00002"	"go:0050776"
"DB00002"	"go:0002474"
"DB00002"	"go:0002479"
"DB00002"	"go:0006911"
"DB00002"	"go:0019221"
"DB00002"	"go:0035556"
"DB00002"	"go:0042590"
"DB00002"	"go:0060333"
"DB00004"	"go:0000165"
"DB00004"	"go:0000186"
"DB00004"	"go:0002437"
"DB00004"	"go:0002664"
"DB00004"	"go:0006915"
"DB00004"	"go:0006924"
"DB00004"	"go:0006954"
"DB00004"	"go:0006955"
"DB00004"	"go:0007166"
"DB00004"	"go:0007173"
"DB00004"	"go:0007219"
"DB00004"	"go:0007264"
"DB00004"	"go:0007265"
"DB00004"	"go:0007411"
"DB00004"	"go:0008283"
"DB00004"	"go:0008286"
"DB00004"	"go:0008543"
"DB00004"	"go:0038095"
"DB00004"	"go:0038110"
"DB00004"	"go:0042104"
"DB00004"	"go:0042130"
"DB00004"	"go:0045087"
"DB00004"	"go:0045582"
"DB00004"	"go:0046013"
"DB00004"	"go:0048010"
"DB00004"	"go:0048011"
"DB00004"	"go:0050687"
"DB00004"	"go:0050728"
"DB00004"	"go:0050777"
"DB00004"	"go:0006461"
"DB00004"	"go:0007165"
"DB00004"	"go:0016032"
"DB00004"	"go:0019221"
"DB00004"	"go:0043066"
"DB00005"	"go:0048839"
"DB00005"	"go:0030853"
"DB00005"	"go:0045650"
"DB00005"	"go:0038096"
"DB00005"	"go:0050776"
"DB00005"	"go:0002474"
"DB00005"	"go:0002479"
"DB00005"	"go:0006911"
"DB00005"	"go:0019221"
"DB00005"	"go:0035556"
"DB00005"	"go:0042590"
"DB00005"	"go:0060333"
"DB00005"	"go:0007275"
"DB00005"	"go:0007568"
"DB00005"	"go:0042127"
"DB00005"	"go:0042981"
"DB00005"	"go:0043410"
"DB00005"	"go:0050728"
"DB00005"	"go:0050779"
"DB00005"	"go:0071222"
"DB00005"	"go:0071363"
"DB00005"	"go:0097190"
"DB00054"	"go:0007267"
"DB00054"	"go:0048839"
"DB00054"	"go:0030853"
"DB00054"	"go:0045650"
"DB00054"	"go:0038096"
"DB00054"	"go:0050776"
"DB00054"	"go:0002474"
"DB00054"	"go:0002479"
"DB00054"	"go:0006911"
"DB00054"	"go:0007165"
"DB00054"	"go:0019221"
"DB00054"	"go:0035556"
"DB00054"	"go:0042590"
"DB00054"	"go:0060333"
"DB00072"	"go:0007267"
"DB00072"	"go:0048839"
"DB00072"	"go:0030853"
"DB00072"	"go:0045650"
